,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,quality,quality_pred
3,-0.8155287729812595,-0.8963432804192571,-1.1753677057304386,-1.1022519233504515,0.5950753222740032,1.136502941216677,1.0866446928373692,0.0,-0.6969320524371695,-0.7276068750224471,-0.727606875108999,1.0536438167783684,0.0,0.0,2.7688746209726918,5HT1B,2,1,0
6,1.4886053113898492,-0.9011252492898637,0.6499027920034108,0.9212964976867893,-0.3417136441094036,0.5589430082097646,0.0997542411518032,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.040221602816404,0.0,0.0,2.7688746209726918,5HT2B,1,1,0
16,1.3959667456238134,-0.8819973738074377,-0.9854473153595987,-1.015490000399392,-1.9180596452304604,-1.8564985784572836,-2.170930177548382,0.0,-0.6969320524371695,1.3743685415455793,-0.727606875108999,-1.040221602816404,0.0,0.0,2.7688746209726918,A2C,5,1,1
18,1.4946956739044561,-0.8724334360662248,-0.9789808972849828,-1.038950872624045,-1.8869617669286018,-1.8564985784572836,-2.1921998247112815,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.040221602816404,0.0,0.0,2.7688746209726918,A2C,7,1,1
19,-0.6078323373876029,-0.8389596539719795,-1.9710634915379939,-1.960197870687552,-3.0179297261070146,-1.42618026627083,-2.464519846888899,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.4026213871179705,0.0,0.0,2.7688746209726918,A2C,14,1,0
34,1.4982218959526439,-0.8819973738074377,0.06134690384021791,0.02713389520874186,-0.3592123802007962,0.09627851259515412,0.10832761931692116,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.040221602816404,0.0,0.0,2.7688746209726918,M2,5,1,0
