Receptor,subset,match_features,score_type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop
GPR101_AF,ef,5,dE(class),-0.55833334,92,7.1609483,0.83367014,3.6156802,8.5575829,4.1249924,6.9097738,3,1,1,0,0,1,0,1,7,0,0.42857143,0.14285715,0.14285715,0,0,0.14285715,0,0.14285715
GPR101_AF,ef,5,dE,-4.0297642,87,5.5930171,0.58185309,3.0021336,9.0562067,6.2452855,7.9688926,1,2,0,0,2,2,0,0,7,0,0.14285715,0.2857143,0,0,0.2857143,0.2857143,0,0
GPR101_AF,ef,5,dU(class),-0.36666667,53,4.4176393,0.25267598,2.5979564,8.4682779,4.3195586,7.5493579,5,1,1,0,0,0,0,0,7,0,0.71428573,0.14285715,0.14285715,0,0,0,0,0
GPR101_AF,ef,5,dU,-6.0106354,0,10.068495,1.7899268,6.221899,9.2904558,2.7902529,6.502841,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_AF,gh,5,dE(class),-0.44374999,92,7.1609483,0.83367014,3.6156802,8.5575829,4.1249924,6.9097738,3,1,1,0,0,1,0,1,7,0,0.42857143,0.14285715,0.14285715,0,0,0.14285715,0,0.14285715
GPR101_AF,gh,5,dE,-3.0265422,58,7.8882413,1.1669823,4.1292648,8.5575829,2.8875923,6.2615709,1,2,0,0,2,2,0,0,7,0,0.14285715,0.2857143,0,0,0.2857143,0.2857143,0,0
GPR101_AF,gh,5,dU(class),-0.30000001,53,4.4176393,0.25267598,2.5979564,8.4682779,4.3195586,7.5493579,5,1,1,0,0,0,0,0,7,0,0.71428573,0.14285715,0.14285715,0,0,0,0,0
GPR101_AF,gh,5,dU,-4.2952161,1,4.7920537,0.80559713,3.0858676,9.260375,4.7118177,6.8408008,1,0,0,0,6,0,0,0,7,0,0.14285715,0,0,0,0.85714287,0,0,0
GPR101_AF,moe,5,dE(class),-0.33913043,92,7.1609483,0.83367014,3.6156802,8.5575829,4.1249924,6.9097738,3,1,1,0,0,1,0,1,7,0,0.42857143,0.14285715,0.14285715,0,0,0.14285715,0,0.14285715
GPR101_AF,moe,5,dE,-4.0297642,87,5.5930171,0.58185309,3.0021336,9.0562067,6.2452855,7.9688926,1,2,0,0,2,2,0,0,7,0,0.14285715,0.2857143,0,0,0.2857143,0.2857143,0,0
GPR101_AF,moe,5,dU(class),-0.28823531,17,4.3976583,0.11385468,2.5005159,8.4393711,4.3195586,7.5431828,5,1,1,0,0,0,0,0,7,0,0.71428573,0.14285715,0.14285715,0,0,0,0,0
GPR101_AF,moe,5,dU,-5.6062102,0,8.4198446,0.59438127,4.1037903,9.7029428,5.6994843,8.3540163,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_AF,rec_ef,5,dE(class),-3.5997858,0,16.967676,2.3058963,10.505775,9.0562067,5.5014515,7.8217545,1,0,2,0,2,0,0,2,7,0,0.14285715,0,0.2857143,0,0.2857143,0,0,0.2857143
GPR101_AF,rec_ef,5,dE,-5.1167727,0,16.460997,2.1968718,8.6680641,9.0562067,2.7902529,6.3363652,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_AF,rec_ef,5,dU(class),-3.2177289,17,16.371767,1.2797645,9.0836678,8.8135786,6.3816051,8.0924101,4,2,1,0,0,0,0,0,7,0,0.5714286,0.2857143,0.14285715,0,0,0,0,0
GPR101_AF,rec_ef,5,dU,-4.8721232,0,8.6664724,1.7484462,4.6360364,9.0562067,2.7902529,6.5413709,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
GPR101_AF,rec_gh,5,dE(class),-2.6169744,98,15.072679,0.98205602,6.7551751,8.2780457,2.9867435,6.2170725,3,0,2,0,2,0,0,0,7,0,0.42857143,0,0.2857143,0,0.2857143,0,0,0
GPR101_AF,rec_gh,5,dE,-3.6314394,0,13.955809,0.72947997,6.78826,7.6237106,2.566221,4.9866648,0,0,3,0,4,0,0,0,7,0,0,0,0.42857143,0,0.5714286,0,0,0
GPR101_AF,rec_gh,5,dU(class),-1.9343822,22,6.9169073,0.25267598,3.3970628,8.4025354,4.3195586,7.5484757,5,0,1,0,1,0,0,0,7,0,0.71428573,0,0.14285715,0,0.14285715,0,0,0
GPR101_AF,rec_gh,5,dU,-4.2952161,1,4.7920537,0.80559713,3.0858676,9.260375,4.7118177,6.8408008,1,0,0,0,6,0,0,0,7,0,0.14285715,0,0,0,0.85714287,0,0,0
