Enrichment,GH,Active_Rate,Hits,Actives,filename,fbase,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,receptor,hyd,don,acc,ani,cat,aro,donhyd,catdon,hydaro,aniacc,donacc,features,s_score,hyd_prop,don_prop,acc_prop,ani_prop,cat_prop,aro_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
NaN,NaN,NaN,0,0,4511.ph4,4511,15.170406,2.1988275,7.7378926,38.837296,27.015545,34.444271,D2,0,1,3,0,0,0,0,1,0,0,0,5,-2.4167058,0,0.2,0.6,0,0,0,0,0.2,0,0,0,Not Quality
NaN,NaN,NaN,0,0,748.ph4,748,15.172725,2.5154104,8.7557507,41.597046,26.462587,37.21706,D2,3,0,2,0,0,0,0,0,0,0,0,5,-0.55000001,0.6,0,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,4883.ph4,4883,15.198327,2.1307039,7.0959535,39.827621,26.008486,34.195827,D2,2,1,1,0,0,0,0,0,0,1,0,5,-0.89999998,0.4,0.2,0.2,0,0,0,0,0,0,0.2,0,Not Quality
NaN,NaN,NaN,0,0,3820.ph4,3820,15.220226,2.1884232,9.6526871,40.71529,26.04109,33.470974,D2,2,1,1,0,0,0,0,0,0,0,1,5,-0.71111113,0.4,0.2,0.2,0,0,0,0,0,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,814.ph4,814,15.222569,0.65799469,8.7679768,40.550541,29.226223,35.8964,D2,2,1,2,0,0,0,0,0,0,0,0,5,-0.39166668,0.4,0.2,0.4,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,660.ph4,660,15.238443,2.7904053,7.5661683,39.402405,28.139435,34.443947,D2,3,0,0,0,0,0,0,1,0,0,1,5,-0.97142857,0.6,0,0,0,0,0,0,0.2,0,0,0.2,Not Quality
NaN,NaN,NaN,0,0,3261.ph4,3261,15.241516,2.1164,10.098225,40.440948,25.204935,33.335995,D2,1,1,2,0,0,0,0,0,0,0,1,5,-2.4717553,0.2,0.2,0.4,0,0,0,0,0,0,0,0.2,Not Quality
0,0,0,1,0,2203.ph4,2203,15.259219,1.7308452,8.45543,39.959953,28.566978,35.120392,D2,2,2,1,0,0,0,0,0,0,0,0,5,-0.76666665,0.4,0.4,0.2,0,0,0,0,0,0,0,0,Not Quality
NaN,NaN,NaN,0,0,602.ph4,602,15.26349,2.2335236,7.3268919,39.392738,27.012455,33.72678,D2,1,1,2,0,0,0,0,0,0,0,1,5,-0.44374999,0.2,0.2,0.4,0,0,0,0,0,0,0,0.2,Not Quality
0,0,0,3,0,276.ph4,276,15.272474,1.2572148,9.1030312,42.975834,29.87599,37.523075,D2,4,0,0,0,0,0,0,1,0,0,0,5,-1.2776932,0.8,0,0,0,0,0,0,0.2,0,0,0,Not Quality
0,0,0,7,0,922.ph4,922,15.284534,2.522507,8.4222431,40.079659,28.171516,34.769894,D2,4,0,1,0,0,0,0,0,0,0,0,5,-0.56,0.8,0,0.2,0,0,0,0,0,0,0,0,Not Quality
