Receptor,Score Type,Hits,Enrichment,search_features,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
5HT2B,dE,4,0,4,12.564578,1.1551268,6.3851466,8.602169,4.1178055,5.6137424,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dE,-99999,0,5,12.564578,1.1551268,6.3851466,8.602169,4.1178055,5.6137424,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dE,-99999,0,6,12.564578,1.1551268,6.3851466,8.602169,4.1178055,5.6137424,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dE,-99999,0,7,12.564578,1.1551268,6.3851466,8.602169,4.1178055,5.6137424,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU(class),544,1.009469049,3,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU(class),280,0.850664452,4,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU(class),18,0.735142119,5,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU(class),3,2.205426357,6,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
5HT2B,dU(class),-99999,0,7,14.334533,0.65266377,7.6881456,7.7865977,5.1793036,6.0932546,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0
5HT2B,dU,17,0.778385773,3,5.3081598,0.51087475,2.6165864,9.2363853,6.5673928,8.3624115,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU,1,0,4,5.3081598,0.51087475,2.6165864,9.2363853,6.5673928,8.3624115,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU,-99999,0,5,5.3081598,0.51087475,2.6165864,9.2363853,6.5673928,8.3624115,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU,-99999,0,6,5.3081598,0.51087475,2.6165864,9.2363853,6.5673928,8.3624115,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2B,dU,-99999,0,7,5.3081598,0.51087475,2.6165864,9.2363853,6.5673928,8.3624115,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
5HT2C,dE(class),565,1.007079646,3,11.500634,2.1901793,6.267374,8.079381,3.7707212,5.3373113,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
5HT2C,dE(class),498,1.036284674,4,11.500634,2.1901793,6.267374,8.079381,3.7707212,5.3373113,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
5HT2C,dE(class),69,0.479440512,5,11.500634,2.1901793,6.267374,8.079381,3.7707212,5.3373113,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
5HT2C,dE(class),2,0,6,11.500634,2.1901793,6.267374,8.079381,3.7707212,5.3373113,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
5HT2C,dE(class),-99999,0,7,11.500634,2.1901793,6.267374,8.079381,3.7707212,5.3373113,3,1,1,0,1,1,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,0,0,0
5HT2C,dE,502,1.001667748,3,13.754385,1.6345235,5.9744697,9.3874969,2.4649596,4.5810642,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0,0
5HT2C,dE,40,0.661627907,4,13.754385,1.6345235,5.9744697,9.3874969,2.4649596,4.5810642,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0,0
5HT2C,dE,1,0,5,13.754385,1.6345235,5.9744697,9.3874969,2.4649596,4.5810642,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0,0
