,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,-0.08655345434947284,0.2938654481725244,0.7703222523574658,0.4340511213302813,-0.33926672193525853,0.010534377484593167,-0.9079806238800429,0.0,-0.457495710997814,1.48774691432169,-0.8905635565617211,-0.7411458194126523,0.0,0.0,1,5HT1B,245,dE(class),rec_ef,4,0,0
4,1.1463764928490001,1.5832858347679457,1.0130840033299187,1.1146982117123774,0.5331226544774006,0.0537922013523851,0.9894353905952014,0.0,-0.457495710997814,0.9542100888965266,1.1228844843604313,-1.1013288350433994,0.0,0.0,1,5HT2B,527,dE(class),rec_ef,3,0,1
13,-0.6226570057636434,-0.6571963972595594,0.9021382567835723,1.3699203587718474,1.6103303858527376,0.5067522612960347,0.9909832105083988,0.0,-0.457495710997814,-0.6464003836442056,-0.8905635565617211,1.0597692562198024,0.0,0.0,1,A2A,37,dE,rec_ef,3,1,1
14,0.3832324593923756,1.537561707583711,1.1967219497538775,1.434079304010553,1.3323305020082625,0.14267679136699749,0.33974213341549964,0.0,-0.457495710997814,0.9542100888965266,-0.8905635565617211,-0.7411458194126523,0.0,0.0,1,A2A,517,dU(class),rec_ef,3,0,1
16,1.2898725640343078,1.7478926926311908,0.9673955059753844,1.227867891516631,0.3454644495982142,-0.5546838324529021,0.0630529478648928,0.0,-0.457495710997814,1.48774691432169,-0.8905635565617211,-1.1013288350433994,0.0,0.0,1,A2C,563,dE(class),rec_ef,3,0,1
17,-0.514278947005662,-0.4514378249305027,1.3179127849750338,1.852823779445965,0.6404944440067999,-0.07094918336281973,0.7934717433510511,0.0,-0.457495710997814,-0.6464003836442056,-0.8905635565617211,0.6995862405890552,0.0,0.0,1,A2C,82,dE,rec_ef,3,1,1
19,-0.5449565318289711,-0.5245964284252784,0.5070751200042268,0.5349568090759658,0.7630119371626894,0.5987544051580806,1.52682546373812,0.0,-0.457495710997814,0.4206732672061211,-0.8905635565617211,0.3394032249583081,0.0,0.0,1,A2C,66,dU,rec_ef,4,1,1
26,1.0636400951472258,1.5741410093310986,1.0276220836077785,0.7764903760039041,-0.5152411534478833,-0.21595544578978082,-0.6924257771523331,0.0,-0.457495710997814,0.9542100888965266,1.1228844843604313,-1.1013288350433994,0.0,0.0,1,H1,525,dU(class),rec_ef,3,0,0
28,0.3026946873548711,1.738747867194344,-0.9413661587062733,-0.8120278913304038,0.45728765995431103,0.5587008922767769,0.5807241507890536,0.0,-0.457495710997814,-0.11286355821904234,1.1228844843604313,-0.7411458194126523,0.0,0.0,1,M1,561,dE(class),rec_ef,3,0,1
29,-1.4333336326746104,-0.7852239533754167,1.3764730631854645,1.1651943000624918,1.122174736494077,0.5286879916380359,0.17737650042495748,0.0,-0.457495710997814,-0.11286355821904234,-0.8905635565617211,0.6995862405890552,0.0,0.0,1,M1,9,dE,rec_ef,4,0,0
38,0.961845016572495,0.2115620192409018,1.2168482329681745,-0.12826213023387512,-0.1968699097228984,0.6540559748934138,0.08258648690530056,0.0,-0.457495710997814,-0.6464003836442056,1.1228844843604313,-1.1013288350433994,0.0,0.0,1,M4,227,dU(class),rec_ef,3,0,1
41,-1.1772478533142519,1.7341754544759205,-1.7397784875700717,-1.9170696328576453,0.7148016149125747,2.3153009720837927,2.1683825069539195,0.0,-0.457495710997814,0.4206732672061211,-0.8905635565617211,0.3394032249583081,0.0,0.0,1,OPRD,560,dE,rec_ef,3,0,1
44,0.4386382747166519,-0.34169991968833924,0.6838299519064128,1.1406622285656498,0.9819001338531085,1.6049801797083794,1.6658982803736029,0.0,-0.457495710997814,0.9542100888965266,1.1228844843604313,-0.7411458194126523,0.0,0.0,1,OPRK,106,dE(class),rec_ef,4,0,1
45,-0.8361945281985279,-0.7532170643464524,0.8872767483574309,0.653944683145,0.9178960817259338,-0.29252547631753145,-0.32418816308223164,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,1,OPRK,16,dE,rec_ef,3,0,0
46,1.0938326477849716,1.6655892636995682,-0.019566021247810116,0.5198730155069475,0.751272271733068,-1.0538484057861217,0.7665409786022411,0.0,-0.457495710997814,0.4206732672061211,1.1228844843604313,-1.1013288350433994,0.0,0.0,1,OPRK,545,dU(class),rec_ef,3,0,1
47,-0.5936560061829171,-0.8172308424043812,0.24119020479197104,0.5825340723299931,0.9819001338531085,0.1218189579897083,0.2252935803578364,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,1,OPRK,2,dU,rec_ef,4,1,0
48,1.4434505759091254,1.5924306602047926,0.7764589942293573,-0.43448038842729336,0.08841982712919304,1.5162892090459341,1.2645074969448882,0.0,-0.457495710997814,0.9542100888965266,-0.8905635565617211,-1.1013288350433994,0.0,0.0,1,OPRM,529,dE(class),rec_ef,3,0,1
49,-0.9498210277158987,-0.7623618897832993,1.4849923492495676,1.2366332500434492,0.6453415323878284,1.6511088238070235,1.430435060002537,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,1,OPRM,14,dE,rec_ef,3,0,1
50,1.1212529470985273,1.6930237400101091,-0.1399124662060287,0.10185434971023927,1.144324881715517,1.5162892090459341,1.5300365078957427,0.0,-0.457495710997814,1.48774691432169,-0.8905635565617211,-1.1013288350433994,0.0,0.0,1,OPRM,551,dU(class),rec_ef,3,0,1
51,-0.8824772525874138,-0.7623618897832993,1.279430830290554,1.5778323937147665,0.8774535499377846,1.6511088238070235,1.4180812057511438,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,1,OPRM,14,dU,rec_ef,3,0,1
