,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
1,-1.0260467795141188,1.3272307225362308,-1.3031343909193696,-1.3390146830872556,-0.967163626938885,-0.05224985147507176,-0.5916461703635301,0.0,-0.457495710997814,-0.6464003836442056,1.1228844843604313,0.3394032249583081,0.0,0.0,2,5HT1B,471,dE,rec_ef,3,0,0
2,1.3415399867792202,-0.6800584608516768,0.4249699320446025,0.15844412171720917,-0.8143843211763541,-0.3528137381033366,-1.0469009866376127,0.0,-0.457495710997814,0.4206732672061211,1.1228844843604313,-1.1013288350433994,0.0,0.0,2,5HT1B,32,dU(class),rec_ef,5,0,0
3,-1.50389039557567,-0.8126584296859576,-1.0796572006559408,-0.9300765945401664,-1.5523795833439429,-0.1267422616708064,-1.1492475222274314,0.0,-0.457495710997814,-0.6464003836442056,-0.8905635565617211,1.0597692562198024,0.0,0.0,2,5HT1B,3,dU,rec_ef,5,1,0
5,-1.5998594806151387,-0.7532170643464524,-2.0509375883791643,-1.7889007409950564,-2.2063070707299035,-0.5545448827720252,-1.8150363875389346,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,2,5HT2B,16,dE,rec_ef,3,0,0
6,1.3550575253888988,-0.8126584296859576,-0.49619509924094224,-0.38267481261669184,0.5331226544774006,-1.1536637040297095,-0.9129921591836622,0.0,-0.457495710997814,0.4206732672061211,1.1228844843604313,-1.1013288350433994,0.0,0.0,2,5HT2B,3,dU(class),rec_ef,6,1,0
7,-1.2197848956227186,-0.7394998261911819,0.3583572221609185,-0.4158114178735843,-0.06471493607035884,-0.6305127980159764,-1.3913909260666648,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,2,5HT2B,19,dU,rec_ef,3,0,0
8,0.6323091031232083,1.6564444382627213,0.2692789952638731,0.0006093004523006212,-0.9809966310756699,-0.9042917141334316,-1.1911797652518865,0.0,-0.457495710997814,0.4206732672061211,1.1228844843604313,-0.7411458194126523,0.0,0.0,2,5HT2C,543,dE(class),rec_ef,3,0,0
9,-1.6138160714806506,-0.7577894770648759,-0.21290741161632415,-0.5115075494416662,-2.3802122896057516,-0.34955654328308144,-1.708285545364476,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,2,5HT2C,15,dE,rec_ef,3,0,0
10,1.3024890081674545,-0.616044682793748,-0.016179168006442812,0.8100098324931061,-0.9809966310756699,-0.9042917141334316,-0.8993701089626333,0.0,-0.457495710997814,1.48774691432169,1.1228844843604313,-1.1013288350433994,0.0,0.0,2,5HT2C,46,dU(class),rec_ef,5,0,0
11,-0.6122161973299018,-0.7394998261911819,-1.3720947575223834,-1.4407793200532137,0.2531363104175723,1.1521706485856802,0.9652563891370011,0.0,2.185812841434,-1.179937209069369,-0.8905635565617211,1.4199522718505495,0.0,0.0,2,5HT2C,19,dU,rec_ef,3,0,1
