,clusters,clusters
10257,0,-1.1089216578594656
89229,3,0.9750068971006584
90509,0,-1.1089216578594656
26023,3,0.9750068971006584
25185,0,-1.1089216578594656
88679,3,0.9750068971006584
111700,2,0.28036404544728366
57216,3,0.9750068971006584
62000,3,0.9750068971006584
8251,3,0.9750068971006584
87779,3,0.9750068971006584
2393,3,0.9750068971006584
60579,3,0.9750068971006584
57455,3,0.9750068971006584
87504,3,0.9750068971006584
108623,0,-1.1089216578594656
104861,3,0.9750068971006584
32473,0,-1.1089216578594656
85728,3,0.9750068971006584
61073,0,-1.1089216578594656
5637,0,-1.1089216578594656
57296,2,0.28036404544728366
41281,3,0.9750068971006584
111786,2,0.28036404544728366
86166,3,0.9750068971006584
54278,0,-1.1089216578594656
87801,3,0.9750068971006584
86975,2,0.28036404544728366
64656,0,-1.1089216578594656
109712,0,-1.1089216578594656
24104,3,0.9750068971006584
28056,3,0.9750068971006584
104904,2,0.28036404544728366
14482,0,-1.1089216578594656
27505,3,0.9750068971006584
29085,0,-1.1089216578594656
115900,0,-1.1089216578594656
58822,3,0.9750068971006584
63310,0,-1.1089216578594656
22652,3,0.9750068971006584
106710,3,0.9750068971006584
31569,0,-1.1089216578594656
45368,0,-1.1089216578594656
29909,0,-1.1089216578594656
78300,3,0.9750068971006584
107023,3,0.9750068971006584
111554,3,0.9750068971006584
37489,0,-1.1089216578594656
57247,3,0.9750068971006584
43247,3,0.9750068971006584
35027,0,-1.1089216578594656
43983,0,-1.1089216578594656
79578,0,-1.1089216578594656
10509,0,-1.1089216578594656
84233,3,0.9750068971006584
105598,2,0.28036404544728366
89798,3,0.9750068971006584
53942,0,-1.1089216578594656
85496,3,0.9750068971006584
108282,0,-1.1089216578594656
23655,2,0.28036404544728366
85581,2,0.28036404544728366
65472,0,-1.1089216578594656
105793,3,0.9750068971006584
55324,3,0.9750068971006584
60521,3,0.9750068971006584
91824,0,-1.1089216578594656
104722,2,0.28036404544728366
83958,3,0.9750068971006584
