,PC1_2d,PC2_2d
84488,-2.350853195202402,-0.1314656497664071
58160,-1.173834909697072,-0.6269812901926546
106183,-0.6050497768955493,0.6733465853215675
106039,-0.9725093660044414,0.02612501088358609
45733,3.5077237545985667,0.9727803309987456
78445,0.7971244635361787,0.6731541092786956
104397,-3.000755003501605,-0.240935577952918
27787,1.0682454203216838,-0.4273672758862576
73288,0.16302176165673288,0.24683881402903227
53766,2.698821946863097,1.1341973936150747
104101,-1.4363964445262387,-0.14999369196975423
16995,1.333094606834115,-1.815756174407837
31031,1.475946296410916,-1.0787892538106423
108171,0.03984022589612965,0.7440418928085754
104265,-3.0218476611238656,-0.47040532336148844
9235,0.1850864302223117,-0.49770241986416375
106571,-0.6437243207695126,-0.46170452570704923
87648,-0.9508450856058347,0.47245848657739226
104947,-3.1285259884389407,-0.045319824124966046
28818,0.7698552115089851,-0.10364653760267475
639,-0.5910953039147216,-1.7991349534991934
78581,1.3049330945736448,-1.7963730093808432
84374,-0.763960432892773,0.5912664144380813
84512,-1.5277761862256714,-0.5001660066886153
41096,1.3610308803794497,-2.139107524452975
68755,1.246406227162645,-0.3315316557592247
57139,-2.647512317371313,0.09339162009640417
111791,-1.8730623748867048,3.2564977236324806
9039,-0.1450419121438963,-3.021098801746703
112814,-1.2954630527138171,3.1015084339403924
89167,1.8093755139012668,1.4457314226595916
5668,-0.9121524031199043,-1.2659706998468032
56180,-1.6899104774371658,-0.9201993747069965
104199,-3.2869125306975726,-0.09792261888415167
66326,1.1683993587088697,0.26371768140828944
55957,-1.813455054947983,-1.9767860576455032
90257,0.4346540274988735,0.46948775824503997
90872,0.26847922561231596,0.9118043252987991
13151,2.145861740234089,-1.9779766092350053
84828,-3.731788461888749,-0.6360975933644889
36003,2.333872013787308,-1.8007935252991152
63702,-0.0015934725006583165,-0.26138606875363996
26082,-1.6913430200889452,-1.110602646360043
59536,-1.4919662482973326,0.0007931941714013445
4227,0.9270361900306792,-0.865266901671919
90660,0.6739027409122255,0.7165822047859302
104297,-3.4726015780515174,0.26819516635610413
13149,2.1550524364829218,-1.037409655772629
17461,1.9939995682549367,-0.7848521335622305
4346,-1.2514918123307155,-0.8523655443273048
85298,-2.6862201640829793,0.6889876520392093
26099,0.4060237888827248,-1.3138397164220272
107574,0.23384693015971553,1.306884960486222
104640,-2.7080800460699908,0.612472420191763
111666,-1.9996542627628808,2.981893717258406
92510,-0.3493540391508048,0.767585862547514
114101,-0.90994451031304,2.7605007402649773
58914,-1.5162906593173389,0.2491567013698104
94044,0.9659189439732557,1.1794474812427709
87623,-1.0160914905515204,0.5371701575792321
106331,-1.8948305060944919,0.39410240197783986
59919,1.6530039596184194,-0.49310466874545933
101661,-1.8763092061435032,0.7257629338304248
38113,2.963364682469909,-2.377340503006063
55884,-2.8826474329920937,-0.7570634905682271
34593,0.4857742245288403,-1.0133362420679146
115497,-0.028827185901294936,3.611340043628451
91345,1.116072009794947,0.9179449459554936
112229,-2.4550905822370734,2.895793432757695
35155,1.678826710287355,-0.5824739741628167
64327,1.2108536292580114,0.2844662096835092
58202,-0.5634115096097725,-0.8809460725792022
17318,2.5100055018467375,-1.821879128851108
4549,1.1448899653188582,-1.8893570314904076
88570,-0.0992164390531093,0.3056945014989654
86082,-1.5935235860656842,-0.6425434249350848
23951,-2.777912629190785,-1.128537288472899
