,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
28051,4,10.730506,5.640357,10.374578,4.0438203999999995,6.6713052,5,0,-1.8226148000000002,0.2,0.4,0.0,0.0,0.0,0
26312,1,9.4821806,5.6520739,8.978168499999999,4.0534873,6.0723753,5,0,-2.9911985,0.2,0.4,0.4,0.0,0.0,0
7723,3,9.5991001,5.8114262000000005,10.419058999999999,3.6565082,7.3178247999999995,5,0,-2.7824152,0.0,0.2,0.0,0.0,0.0,0
57406,9,8.325998299999998,5.1698794,5.0673947,2.9425261000000003,3.7903855,5,0,-0.33333334,0.4,0.2,0.0,0.0,0.0,0
2939,1,5.989202,3.8230557000000003,10.268573,5.3765754999999995,8.282826400000001,5,0,-0.58102119,0.0,0.2,0.0,0.0,0.6,0
113082,65,8.9471273,4.7663608,9.508104300000001,5.3558683,6.6803041,5,1,-0.86828434,1.0,0.0,0.0,0.0,0.0,1
66318,0,14.597914999999999,9.5188818,11.916036,4.9148502,8.0208788,5,0,-1.4923077,0.4,0.0,0.0,0.0,0.0,2
3720,0,6.842481599999999,6.842481599999999,10.565197,7.055633500000001,8.8104153,2,0,-1.275,0.0,0.0,0.0,0.0,0.0,0
29085,1,11.403738,7.847753,11.350178999999999,3.5368836000000003,7.8203421,5,0,-1.2224163000000001,0.2,0.0,0.6,0.0,0.0,2
94311,1,17.323252,9.1944704,12.328391,11.733333,12.012964,5,0,-2.682194,0.6,0.2,0.0,0.0,0.0,2
46152,0,16.511423,10.98276,11.984177,3.9610107000000006,8.246108099999999,4,0,-1.75,0.25,0.25,0.0,0.0,0.0,2
56467,17,7.3844647,5.3865270999999995,7.953589900000001,3.6787504999999996,5.0511594,5,0,-0.75,0.4,0.2,0.0,0.0,0.0,0
104306,42,5.2717032,3.4138932,3.9517288,2.8569341,3.4462721,5,0,-3.7027550000000002,0.8,0.2,0.0,0.0,0.0,3
107356,2,12.096319,7.4937034,11.097242999999999,3.2175786,7.3536901,5,0,-0.47142857,0.8,0.0,0.0,0.0,0.0,2
58022,22,8.8520365,5.3638768,12.82189,4.550972499999999,8.3730564,5,0,-2.150939,0.4,0.2,0.2,0.0,0.0,3
61359,3,11.208434,7.0153189,6.7940693,3.4445596,5.220560099999999,5,0,-0.66000003,0.4,0.2,0.0,0.0,0.0,0
104198,15,4.6621008,3.5236739999999998,5.3041601,3.0461299,4.2883195999999995,5,0,-2.447403,0.8,0.0,0.2,0.0,0.0,0
27397,4,10.288324000000001,6.352745099999999,10.763179,6.392437,8.583516099999999,5,0,-1.125,0.2,0.4,0.0,0.0,0.0,0
60977,2,10.950961,7.6283054,7.618591800000001,2.9455979,5.2700868,5,0,-0.59375,0.4,0.4,0.0,0.2,0.0,0
6111,4,8.674532899999999,5.0264406,6.3999066,2.9983193999999997,4.0906043,5,0,-0.93000001,0.0,0.2,0.0,0.0,0.0,0
68698,0,16.599732999999997,9.6202135,10.686943,5.2045183,7.3195676999999995,5,0,-1.0960641000000002,0.4,0.0,0.2,0.0,0.0,2
102826,0,12.900426,7.5044789000000005,9.094626400000001,4.310336599999999,6.0568967,4,0,-0.11666667,0.75,0.0,0.0,0.0,0.0,2
105020,24,7.5236502000000005,5.015255000000001,6.3577471,4.6289821,5.2564459,5,0,-1.0285715,0.8,0.2,0.0,0.0,0.0,3
99815,0,13.855914000000002,9.340519,9.5720425,5.130343,7.3116012,3,0,-1.36,0.666666667,0.333333333,0.0,0.0,0.0,2
28706,3,11.166683,6.746056599999999,7.618591800000001,3.1271305,5.2157183,5,0,-0.74666667,0.2,0.4,0.0,0.0,0.0,0
99621,0,13.135425,10.926761,10.53129,3.7285837999999996,7.3458052,3,0,-0.69999999,0.666666667,0.0,0.0,0.0,0.0,2
84420,64,6.4536667,3.7054715,5.5400481,2.493655,3.8946705,5,0,-1.175,0.6,0.0,0.0,0.0,0.0,1
19640,0,17.469202,11.911046,15.021231,1.9467106,6.709971899999999,3,0,-3.2,0.0,0.666666667,0.0,0.0,0.0,2
35005,0,15.753769,10.541649000000001,14.087658,2.9001412,8.1690187,5,0,-0.47647059,0.2,0.0,0.0,0.0,0.4,2
115279,5,14.885425,9.3295641,11.812142999999999,8.107235000000001,10.726014,5,1,-0.20999999,1.0,0.0,0.0,0.0,0.0,2
57562,1,8.474447300000001,5.0359587999999995,9.7633133,2.8588772000000002,7.6965785,5,0,-1.9709054,0.4,0.0,0.0,0.0,0.2,0
59609,2,10.039153,6.0292029000000005,11.324786,6.0965199,7.7422414,5,0,-0.82499999,0.4,0.2,0.0,0.0,0.0,0
55119,4,5.007253599999999,2.9239278,8.5924101,4.156415,6.517661599999999,5,0,-4.4491887000000006,0.4,0.0,0.6,0.0,0.0,0
51130,0,10.42695,7.4997129000000005,6.7854266,3.4772971,5.6767616,3,0,-3.6566042999999997,0.333333333,0.0,0.333333333,0.0,0.0,0
92062,2,14.457754000000001,9.6784925,9.165037199999999,4.6022854,6.930567699999999,5,0,-2.0166667,0.6,0.2,0.0,0.0,0.0,2
26642,4,9.737752,5.3601041,11.782065,4.8582797,7.7203622,5,0,-0.87857145,0.2,0.2,0.0,0.0,0.0,0
13000,0,12.387221,12.387221,15.302623,6.3260746,10.814347999999999,2,0,-0.86666667,0.0,0.0,0.0,0.0,0.0,2
45594,0,15.258367000000002,9.1360445,12.012464999999999,7.217205,9.6602545,4,0,-2.3285713,0.25,0.5,0.0,0.0,0.0,2
114038,2,11.074178,5.8224277,9.297039999999999,6.414484,7.6889734,5,1,-2.7018033999999997,1.0,0.0,0.0,0.0,0.0,0
105490,3,8.552395800000001,4.437826599999999,8.922748599999998,4.062798,5.6331782,5,0,-2.1106887000000003,0.8,0.0,0.0,0.0,0.0,0
115044,7,13.938710999999998,8.402616499999999,10.734145,4.3238182,7.950337400000001,5,1,-0.83333331,1.0,0.0,0.0,0.0,0.0,2
94649,0,17.895882,11.127767,12.835517999999999,3.1899824,8.0204439,5,0,-0.36923078,0.6,0.0,0.0,0.0,0.0,2
