,clusters,clusters
10257,1,0.3830033676964871
89229,0,-0.8049414009840504
90509,0,-0.8049414009840504
26023,0,-0.8049414009840504
25185,0,-0.8049414009840504
88679,0,-0.8049414009840504
111700,3,2.7588929050575617
57216,1,0.3830033676964871
62000,0,-0.8049414009840504
8251,1,0.3830033676964871
87779,0,-0.8049414009840504
2393,1,0.3830033676964871
60579,0,-0.8049414009840504
57455,0,-0.8049414009840504
87504,0,-0.8049414009840504
108623,0,-0.8049414009840504
104861,0,-0.8049414009840504
32473,1,0.3830033676964871
85728,0,-0.8049414009840504
61073,0,-0.8049414009840504
5637,1,0.3830033676964871
57296,3,2.7588929050575617
41281,1,0.3830033676964871
111786,3,2.7588929050575617
86166,0,-0.8049414009840504
54278,1,0.3830033676964871
87801,0,-0.8049414009840504
86975,3,2.7588929050575617
64656,0,-0.8049414009840504
109712,1,0.3830033676964871
24104,0,-0.8049414009840504
28056,1,0.3830033676964871
104904,3,2.7588929050575617
14482,1,0.3830033676964871
27505,0,-0.8049414009840504
29085,0,-0.8049414009840504
115900,0,-0.8049414009840504
58822,0,-0.8049414009840504
63310,1,0.3830033676964871
22652,0,-0.8049414009840504
106710,0,-0.8049414009840504
31569,1,0.3830033676964871
45368,1,0.3830033676964871
29909,1,0.3830033676964871
78300,1,0.3830033676964871
107023,0,-0.8049414009840504
111554,0,-0.8049414009840504
37489,1,0.3830033676964871
57247,0,-0.8049414009840504
43247,1,0.3830033676964871
35027,1,0.3830033676964871
43983,1,0.3830033676964871
79578,1,0.3830033676964871
10509,1,0.3830033676964871
84233,0,-0.8049414009840504
105598,3,2.7588929050575617
89798,0,-0.8049414009840504
53942,1,0.3830033676964871
85496,0,-0.8049414009840504
108282,0,-0.8049414009840504
23655,3,2.7588929050575617
85581,3,2.7588929050575617
65472,1,0.3830033676964871
105793,0,-0.8049414009840504
55324,0,-0.8049414009840504
60521,0,-0.8049414009840504
91824,0,-0.8049414009840504
104722,3,2.7588929050575617
83958,0,-0.8049414009840504
58441,0,-0.8049414009840504
33945,1,0.3830033676964871
10295,1,0.3830033676964871
33888,1,0.3830033676964871
12124,1,0.3830033676964871
63502,0,-0.8049414009840504
100166,1,0.3830033676964871
83584,0,-0.8049414009840504
63458,0,-0.8049414009840504
30628,1,0.3830033676964871
85123,0,-0.8049414009840504
79566,1,0.3830033676964871
57013,0,-0.8049414009840504
9011,1,0.3830033676964871
59260,0,-0.8049414009840504
23792,0,-0.8049414009840504
40709,0,-0.8049414009840504
87648,0,-0.8049414009840504
111236,0,-0.8049414009840504
102203,1,0.3830033676964871
78702,1,0.3830033676964871
15268,1,0.3830033676964871
37865,0,-0.8049414009840504
89184,0,-0.8049414009840504
10812,1,0.3830033676964871
87740,0,-0.8049414009840504
73567,1,0.3830033676964871
102371,1,0.3830033676964871
86059,0,-0.8049414009840504
52248,1,0.3830033676964871
23069,1,0.3830033676964871
89150,0,-0.8049414009840504
26874,0,-0.8049414009840504
55232,0,-0.8049414009840504
97909,1,0.3830033676964871
85125,0,-0.8049414009840504
26847,1,0.3830033676964871
86822,0,-0.8049414009840504
114644,0,-0.8049414009840504
42459,1,0.3830033676964871
67762,1,0.3830033676964871
92356,0,-0.8049414009840504
56157,0,-0.8049414009840504
24063,0,-0.8049414009840504
83761,0,-0.8049414009840504
96918,1,0.3830033676964871
84189,3,2.7588929050575617
77137,1,0.3830033676964871
108108,0,-0.8049414009840504
57271,0,-0.8049414009840504
1370,1,0.3830033676964871
97201,1,0.3830033676964871
51743,1,0.3830033676964871
86361,0,-0.8049414009840504
113936,0,-0.8049414009840504
36444,1,0.3830033676964871
87784,0,-0.8049414009840504
16440,1,0.3830033676964871
111974,2,1.5709481363770244
87191,0,-0.8049414009840504
1636,1,0.3830033676964871
24459,0,-0.8049414009840504
21335,1,0.3830033676964871
65228,0,-0.8049414009840504
113689,0,-0.8049414009840504
28888,0,-0.8049414009840504
107247,0,-0.8049414009840504
27413,1,0.3830033676964871
84806,2,1.5709481363770244
9362,1,0.3830033676964871
87696,0,-0.8049414009840504
87985,0,-0.8049414009840504
114443,0,-0.8049414009840504
74568,1,0.3830033676964871
105208,2,1.5709481363770244
104052,0,-0.8049414009840504
60844,0,-0.8049414009840504
7774,1,0.3830033676964871
65489,0,-0.8049414009840504
58648,0,-0.8049414009840504
104370,0,-0.8049414009840504
59810,0,-0.8049414009840504
89924,0,-0.8049414009840504
91444,1,0.3830033676964871
674,1,0.3830033676964871
78007,1,0.3830033676964871
38186,1,0.3830033676964871
25146,0,-0.8049414009840504
99451,1,0.3830033676964871
89154,0,-0.8049414009840504
52090,1,0.3830033676964871
99163,1,0.3830033676964871
114559,0,-0.8049414009840504
90912,0,-0.8049414009840504
105043,0,-0.8049414009840504
34086,1,0.3830033676964871
61928,0,-0.8049414009840504
48613,1,0.3830033676964871
16884,1,0.3830033676964871
67358,1,0.3830033676964871
24383,0,-0.8049414009840504
7170,1,0.3830033676964871
10508,1,0.3830033676964871
39845,1,0.3830033676964871
87596,0,-0.8049414009840504
91656,0,-0.8049414009840504
25064,0,-0.8049414009840504
107542,0,-0.8049414009840504
105224,0,-0.8049414009840504
63357,0,-0.8049414009840504
90294,0,-0.8049414009840504
84097,1,0.3830033676964871
23059,1,0.3830033676964871
29656,0,-0.8049414009840504
104900,3,2.7588929050575617
77181,1,0.3830033676964871
105000,2,1.5709481363770244
62968,0,-0.8049414009840504
59657,0,-0.8049414009840504
26022,0,-0.8049414009840504
6273,1,0.3830033676964871
26401,0,-0.8049414009840504
53224,1,0.3830033676964871
24837,0,-0.8049414009840504
46639,1,0.3830033676964871
35618,1,0.3830033676964871
78335,0,-0.8049414009840504
104126,2,1.5709481363770244
64833,1,0.3830033676964871
62673,0,-0.8049414009840504
100218,1,0.3830033676964871
105886,0,-0.8049414009840504
59340,0,-0.8049414009840504
67429,0,-0.8049414009840504
33334,1,0.3830033676964871
58626,0,-0.8049414009840504
61094,0,-0.8049414009840504
9202,1,0.3830033676964871
107721,0,-0.8049414009840504
58762,0,-0.8049414009840504
60340,3,2.7588929050575617
33840,1,0.3830033676964871
79428,1,0.3830033676964871
78114,1,0.3830033676964871
61252,0,-0.8049414009840504
68820,1,0.3830033676964871
46252,1,0.3830033676964871
113336,3,2.7588929050575617
12936,1,0.3830033676964871
82040,1,0.3830033676964871
104952,0,-0.8049414009840504
