,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,quality,quality_pred
3,-0.8083741425831968,-0.7324083911295713,-0.8429399969701279,-0.9096251875268017,0.35296969356638097,1.2952728435120382,1.193780622635001,0.0,-0.5179697702828123,-0.709244981692023,-0.7418071977193716,1.2283899533239115,-0.6404447607135402,0.0,-1.8257418583505534,5HT1B,3,dU,ef,1,1
6,1.2718197139846605,-0.7324083911295713,0.7356080835715139,0.8046706848482413,-0.5824601347786603,-0.18626923190629174,-0.36622775835767823,0.0,1.930614598326846,2.0226616157535275,-0.7418071977193716,-0.9008192992698068,-0.6404447607135402,0.0,-1.8257418583505534,5HT2B,3,dU(class),ef,1,1
8,0.18022396594350928,-0.7369455886919656,0.002712019907727812,-0.4156840073872267,-0.36673378727481437,-0.8970916005254498,-1.2434520592048213,0.0,-0.5179697702828123,0.20139055185223534,1.5960094258921251,-0.5459510900901742,-0.6404447607135402,0.0,-1.8257418583505534,5HT2C,2,dE(class),ef,1,0
11,-1.4587366741111216,-0.6870364155056283,-1.507967628523296,-1.3995099750409612,-2.846351996614102,-1.639772661038707,-2.2757541173132094,0.0,-0.5179697702828123,-0.709244981692023,-0.7418071977193716,1.2283899533239115,-0.6404447607135402,0.0,-1.8257418583505534,5HT2C,13,dU,ef,0,0
18,1.1810778573667964,-0.7187967984423884,0.38398971039405505,-0.2953729659780909,0.11144349367675713,-1.514412927382681,-1.5707866701171382,0.0,-0.5179697702828123,1.5673438489813987,-0.7418071977193716,-0.9008192992698068,-0.6404447607135402,0.0,-1.8257418583505534,A2C,6,dU(class),ef,1,0
23,-0.951253140984147,-0.6824992179432341,-2.0402047849853195,-1.985846386153934,0.8739443507056894,2.362632691311473,1.8924216458172896,0.0,1.930614598326846,-1.164562748464152,-0.7418071977193716,1.583258162503544,-0.6404447607135402,0.0,-1.8257418583505534,Beta 2,14,dU,ef,0,1
28,1.0077776828250022,-0.7233339960047828,0.9628152138092798,1.5986495730928763,0.10613616073220417,-0.5087880007205813,0.503835031682353,0.0,-0.5179697702828123,1.1120260822092691,0.4271011140863767,-0.9008192992698068,-0.6404447607135402,0.0,-1.8257418583505534,M1,5,dE(class),ef,1,1
29,-1.1292824056093194,-0.7324083911295713,-0.35819386458078006,-0.028960729947183326,0.3970312186806871,1.0663086893367095,0.4895952466843168,0.0,-0.5179697702828123,-0.709244981692023,0.4271011140863767,0.5186535349646462,0.873333764609373,0.0,-1.8257418583505534,M1,3,dE,ef,1,0
33,0.8606652326195794,-0.7414827862543599,1.2761788813884158,0.07476674875548417,0.816998556660655,-1.0205723570260001,-0.941399982215036,0.0,-0.5179697702828123,-1.164562748464152,3.933826041321264,-0.9008192992698068,2.387112289932286,0.0,-1.8257418583505534,M2,1,dE,ef,1,0
34,1.2812068026003014,-0.7006480081928113,0.021644333936722798,0.06440727082183204,-0.6039505191678665,-1.2084222230101367,-0.3600108949076067,0.0,1.930614598326846,2.0226616157535275,-0.7418071977193716,-0.9008192992698068,-0.6404447607135402,0.0,-1.8257418583505534,M2,10,dU(class),ef,1,1
36,1.2749487435232076,-0.7006480081928113,-0.0028461332645787017,-0.09072138362016952,-0.3410642033102159,-0.2179983506431438,-0.695435413725969,0.0,-0.5179697702828123,1.5673438489813987,-0.7418071977193716,-0.9008192992698068,0.873333764609373,0.0,-1.8257418583505534,M4,10,dE(class),ef,0,0
42,0.9349273667861872,-0.7324083911295713,-1.3690670056888727,-1.1696598686930837,-0.5534942734620818,-0.41354993328977685,-0.746980276545157,0.0,-0.5179697702828123,0.20139055185223534,0.4271011140863767,-0.9008192992698068,0.873333764609373,0.0,-1.8257418583505534,OPRD,3,dU(class),ef,1,0
