,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,1.2227980843325146,-0.46309879545052285,0.8500920983603526,0.7302809364965429,1.6003355824047836,0.5620317897831534,1.586187002394627,0.0,-0.5179697702828123,0.6567083154371401,0.4271011140863767,-0.9008192992698068,0.873333764609373,0.0,0.5773502691896258,5HT1B,61,dE(class),ef,5,1,1
1,-0.9198126521808263,-0.6214380416875981,1.4355959048138685,2.260354738056982,1.4913706163247462,0.7770220745733056,1.8342738840047546,0.0,-0.5179697702828123,-0.2539272149198939,0.4271011140863767,0.16378532826909106,0.873333764609373,0.0,0.5773502691896258,5HT1B,26,dE,ef,4,1,0
2,1.2721040801891235,0.8126631313739121,1.5394912892954469,1.2447729328062278,1.6003355824047836,0.9169532314814426,1.1106473169112265,0.0,1.930614598326846,2.0226616157535275,-0.7418071977193716,-0.9008192992698068,-0.6404447607135402,0.0,0.5773502691896258,5HT1B,343,dU(class),ef,4,0,1
4,1.1310133847500436,1.717458824157199,0.012558186279849008,-0.2484721739482542,-0.5824601347786603,-0.18626923190629174,0.028319170106766347,0.0,-0.5179697702828123,1.1120260822092691,0.4271011140863767,-0.9008192992698068,0.873333764609373,0.0,0.5773502691896258,5HT2B,543,dE(class),ef,4,0,1
5,-0.8411813914889549,1.663171082590202,0.27867910084556596,-0.14649769065849655,0.01846286075408841,0.29451512919119055,0.1766332905275022,0.0,-0.5179697702828123,-0.709244981692023,0.4271011140863767,0.5186535349646462,0.873333764609373,0.0,0.5773502691896258,5HT2B,531,dE,ef,3,0,0
7,-1.319567453131073,-0.6440579340071803,0.00964951411113663,-0.01589289294228002,0.5470756829847755,0.059071252350986446,0.5952682486477145,0.0,1.930614598326846,-1.164562748464152,-0.7418071977193716,1.583258162503544,-0.6404447607135402,0.0,0.5773502691896258,5HT2B,21,dU,ef,3,0,0
9,-0.743961192114483,1.6495991471984526,0.5858379281322549,-0.2625062758778853,0.5971021460543964,-1.2948628919803373,-1.3238676747039342,0.0,-0.5179697702828123,-1.164562748464152,0.4271011140863767,0.5186535349646462,2.387112289932286,0.0,0.5773502691896258,5HT2C,528,dE,ef,3,0,0
10,1.2576469624315838,1.798890436507695,-0.010431347222252089,0.1568843285848996,-0.36673378727481437,-0.08828650286727933,-0.10692312504343592,0.0,-0.5179697702828123,1.1120260822092691,-0.7418071977193716,-0.9008192992698068,-0.6404447607135402,0.0,0.5773502691896258,5HT2C,561,dU(class),ef,3,0,1
12,0.5602783969190636,-0.6395339555432639,-0.3546940093760912,0.013109679543763455,-1.8070426809389104,-0.26921062702892984,-0.8981123093706462,0.0,-0.5179697702828123,-0.2539272149198939,-0.7418071977193716,-0.9008192992698068,0.873333764609373,0.0,0.5773502691896258,A2A,22,dE(class),ef,5,0,1
13,-0.7250818794907052,1.83055828575511,-0.1515185986300498,-0.3021863920534807,-1.0199213870320156,-1.4411219040932373,-1.2567034461509121,0.0,-0.5179697702828123,-0.709244981692023,-0.7418071977193716,-0.5459510900901742,3.9008908152551993,0.0,0.5773502691896258,A2A,568,dE,ef,3,0,0
