,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,quality,quality_pred
3,-1.0501226038958347,0.28274741566549144,-1.4705533142083842,-1.4209267712949598,0.782606263613586,2.220367252823144,1.474817748973343,0.0,1.7320508075688774,-1.3737855080103385,-0.7883561227922862,2.075089204173812,-0.7276068751089989,0.0,-1.187386506040508,5HT1B,1,1,1
4,1.0204895166205343,0.2828223505720556,0.20350231525950804,-0.09108955158124432,-0.35512535778057663,-0.17298285321486476,-0.030863600534136674,0.0,-0.5773502691896258,1.0754777972913117,0.41736500618415173,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,5HT2B,3,1,1
6,1.1421377426646804,0.2828223505720556,0.879282996891684,0.7544999133410351,-0.35512535778057663,0.5933224454171174,-0.14914820434077553,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,5HT2B,3,1,1
7,-1.6706446794634073,0.28323449255815886,-1.5497561309669996,-1.5193809089610053,0.437318287744544,1.9080750220615657,1.3725084838253294,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,5HT2B,14,0,1
9,-0.6698465216758774,0.2828223505720556,-0.7066476610597233,-0.8326452937909469,-2.0872831935454412,-1.2210973258330364,-1.868229062529445,0.0,-0.5773502691896258,-1.3737855080103385,0.41736500618415173,0.867201457261824,2.4253562503633295,0.0,-1.187386506040508,5HT2C,3,1,0
15,-0.5602598038416252,0.2828223505720556,-0.6990976258121883,-0.4251772202140435,0.9307860428261729,-0.3601472222190223,0.03358946670707955,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,A2A,3,1,0
18,1.14292225397403,0.2829722203851841,-0.7926860786088678,-0.8292303829989147,-1.9496148015377668,-1.6849931169274053,-2.161823117881728,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,A2C,7,1,0
20,0.7034202768496064,0.28289728547861986,1.7244447239223064,1.1766073126412455,1.0550642899936191,-0.10696190158555946,0.41375298069001376,0.0,-0.5773502691896258,-0.14915385393077654,0.41736500618415173,-0.3406862868317593,-0.7276068751089989,0.0,-1.187386506040508,Beta 2,5,1,1
27,-0.7089261096488262,0.2828598180253378,-0.16545735894385502,-0.7319327151400683,-0.11442027389060101,0.22296079473074026,0.5219306138287911,0.0,-0.5773502691896258,-0.14915385393077654,-0.7883561227922862,0.867201457261824,-0.7276068751089989,0.0,-1.187386506040508,H1,4,1,0
28,0.9231715008593901,0.28289728547861986,1.0916365148423717,1.6228138524175764,0.22343757162875472,-0.47556081165026776,0.5216298380994184,0.0,-0.5773502691896258,0.6672672459314578,0.41736500618415173,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,M1,5,1,1
32,0.7471089864887703,0.2828223505720556,0.009022446652310456,0.13434639296990458,1.1136522483366837,-0.955702374447928,-0.522620625898698,0.0,-0.5773502691896258,-0.9655749566504845,2.8288072641370268,-0.743315535802422,0.8488746876271653,0.0,-1.187386506040508,M2,3,1,0
33,0.7505097912163355,0.28274741566549144,1.3845141069264015,0.25049658712925926,0.8207086183603901,-0.955702374447928,-0.8484077217689325,0.0,-0.5773502691896258,-0.9655749566504845,2.8288072641370268,-0.743315535802422,0.8488746876271653,0.0,-1.187386506040508,M2,1,1,0
34,1.14606171189686,0.2830846227450304,0.2119944581668957,0.2426307663928234,-0.3731817136271147,-1.1319377890590163,-0.2913440952567433,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,-1.187386506040508,M2,10,1,1
36,1.1401755226010188,0.2830846227450304,0.18910504945419387,0.10146792322383319,-0.15230298105799694,-0.20275021219879813,-0.6152410090983815,0.0,-0.5773502691896258,1.0754777972913117,-0.7883561227922862,-0.743315535802422,0.8488746876271653,0.0,-1.187386506040508,M4,10,0,0
37,1.139334503874429,0.2831220901983125,0.09255216415982316,0.16107019390973276,-1.0005871329605183,-0.20275021219879813,-0.7493355423386621,0.0,-0.5773502691896258,1.0754777972913117,-0.7883561227922862,-0.743315535802422,0.8488746876271653,0.0,-1.187386506040508,M4,11,0,0
38,0.416174239212559,0.28278488311877353,1.0486845512157792,0.8861766418255242,0.35277427531072075,-0.6840365293370644,-0.3457205133694435,0.0,-0.5773502691896258,0.2590566945716036,0.41736500618415173,-0.743315535802422,0.8488746876271653,0.0,-1.187386506040508,M4,2,1,0
41,-0.8972982939700521,0.2829722203851841,-0.4032897908159316,-0.19031721427343504,-1.5365326126655918,0.045319583079397534,-0.5998223320793316,0.0,-0.5773502691896258,-0.5573644052906305,0.41736500618415173,0.464572211109566,0.8488746876271653,0.0,-1.187386506040508,OPRD,7,0,0
42,0.900523328029568,0.28289728547861986,-1.0877994572545153,-0.8798073331951327,-0.3307880593004112,-0.38621115887040314,-0.4500196382501101,0.0,-0.5773502691896258,-0.14915385393077654,0.41736500618415173,-0.743315535802422,0.8488746876271653,0.0,-1.187386506040508,OPRD,5,1,0
47,-1.1902609986512205,0.28274741566549144,1.214239113651154,1.2429471329542596,0.035987615815367746,-0.19739281183314095,0.686224982029339,0.0,1.7320508075688774,-1.3737855080103385,-0.7883561227922862,2.075089204173812,-0.7276068751089989,0.0,-1.187386506040508,OPRK,1,1,0
