,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,quality,quality_pred
0,1.0989721975301308,0.2890794152701679,0.9862826463484935,1.2676715330966282,1.478873303944536,0.5290519346219118,1.113611052275326,0.0,-0.5773502691896258,0.6672672459314578,0.41736500618415173,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,5HT1B,170,0,1
1,0.05498353716543682,0.2841711788902116,1.37630546975592,1.7096727905547613,1.3873202555339523,0.18491068387448378,1.4044799331396491,0.0,-0.5773502691896258,-0.9655749566504845,2.8288072641370268,-0.3406862868317593,2.4253562503633295,0.0,0.4813729078542602,5HT1B,39,1,1
2,1.071146532595687,0.287393379872473,1.630612528576331,1.610821689557285,1.478873303944536,0.8332070754624433,1.3046768303494243,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,5HT1B,125,0,1
5,-0.26617636871852896,0.2927137582385325,1.2711598271777442,1.5876141208052983,1.8416688262487657,0.2438157401284156,0.8247780362378355,0.0,-0.5773502691896258,1.0754777972913117,0.41736500618415173,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,5HT2B,267,0,0
8,0.5799562791314794,0.3037291895034727,0.3821292669032975,0.44236113347303974,0.1881520051748229,-0.2861325949430277,-0.2588551583375896,0.0,-0.5773502691896258,-0.14915385393077654,0.41736500618415173,-0.3406862868317593,-0.7276068751089989,0.0,0.4813729078542602,5HT2C,561,0,1
10,1.044034273803899,0.30305477534439473,0.18201571706116995,-0.01779281354731713,-0.17387072661820024,-0.5450099076253386,-0.6687096630572879,0.0,-0.5773502691896258,0.6672672459314578,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,5HT2C,543,0,1
11,-0.8301816091431533,0.2854825397550854,-1.20811275326981,-0.9822493646503282,-2.1361495797394277,-0.9780661978466614,-1.6565068577592388,0.0,-0.5773502691896258,-0.5573644052906305,-0.7883561227922862,1.2698307062324867,-0.7276068751089989,0.0,0.4813729078542602,5HT2C,74,0,0
12,0.6647032781372818,0.285332669941957,-0.13974085515086365,0.2846533709128972,-1.3840272990615454,-0.2507961169150082,-0.8145175115038754,0.0,-0.5773502691896258,-0.14915385393077654,-0.7883561227922862,-0.743315535802422,0.8488746876271653,0.0,0.4813729078542602,A2A,70,0,1
13,0.7183335260495496,0.30399146167644747,0.050152011273917135,-0.011865673489560117,-0.7226830476153789,-1.3502500277220528,-1.1211842628907902,0.0,-0.5773502691896258,-0.14915385393077654,-0.7883561227922862,-0.743315535802422,0.8488746876271653,0.0,0.4813729078542602,A2A,568,0,1
14,1.14606171189686,0.3037291895034727,1.0768302769314773,0.7460317393304662,1.2657037185346849,0.24258682277438492,0.9171957182043747,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,A2A,561,0,1
16,0.9194434240069761,0.3039539942231654,-0.6713678934930873,-0.6709138032797386,0.16486738071953633,-1.6562892837377379,-1.2241047684492015,0.0,-0.5773502691896258,0.6672672459314578,0.41736500618415173,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,A2C,567,0,1
17,-1.155909197920692,0.2882176638446794,0.2183201346813574,0.7521537655179629,0.22789682607983064,-1.4657488415697104,-0.2822187060074262,0.0,-0.5773502691896258,-1.3737855080103385,0.41736500618415173,0.867201457261824,0.8488746876271653,0.0,0.4813729078542602,A2C,147,0,0
19,-1.9852120533360307,0.2834592972778515,0.589269174672634,0.7486192324559979,1.345143958211563,-1.4657488415697104,-0.6536396488883711,0.0,1.7320508075688774,-1.3737855080103385,-0.7883561227922862,2.075089204173812,-0.7276068751089989,0.0,0.4813729078542602,A2C,20,1,0
21,-0.2796816414389069,0.28574481192806017,1.2499231965908406,1.2048759012736494,1.2436919109431679,-0.10696190158555946,0.9858350399018894,0.0,-0.5773502691896258,-0.9655749566504845,-0.7883561227922862,0.464572211109566,-0.7276068751089989,0.0,0.4813729078542602,Beta 2,81,1,0
22,0.4501257790709706,0.2948868705288949,1.1452984807241393,0.9170924741195048,0.618772137032779,1.6620089683188506,1.1261826413068388,0.0,-0.5773502691896258,-0.5573644052906305,0.41736500618415173,-0.3406862868317593,2.4253562503633295,0.0,0.4813729078542602,Beta 2,325,0,1
23,-1.7989683150641806,0.28413371143692945,-1.4602333917190458,-1.5048700933493693,0.6499952137866017,2.4416622211896843,1.7730045068185336,0.0,-0.5773502691896258,-0.9655749566504845,-0.7883561227922862,1.6724599552031494,-0.7276068751089989,0.0,0.4813729078542602,Beta 2,38,0,0
24,0.981248411613308,0.3039539942231654,-1.0420138115632778,-1.2121637310559874,-0.33169933674373236,0.6844231009503104,0.11877424170760732,0.0,-0.5773502691896258,0.6672672459314578,0.41736500618415173,-0.743315535802422,0.8488746876271653,0.0,0.4813729078542602,H1,567,0,1
25,-0.8135825553288815,0.3014062073999819,-0.13698686835847454,-0.7394719884912048,-0.14512617593236538,0.22296079473074026,0.46953262387988676,0.0,-0.5773502691896258,-0.5573644052906305,-0.7883561227922862,1.2698307062324867,-0.7276068751089989,0.0,0.4813729078542602,H1,499,0,0
26,0.43670526747645283,0.30380412441003696,0.28384205034349047,0.6674246774553787,-0.08393581474386122,0.712457188854367,0.21644249901382462,0.0,-0.5773502691896258,0.2590566945716036,0.41736500618415173,-0.3406862868317593,0.8488746876271653,0.0,0.4813729078542602,H1,563,0,1
29,-0.9756364100705427,0.30260516590500947,-1.7794561223594172,-1.5448341525251474,-0.8363346978413606,-0.03325108530609527,-0.2315433977214917,0.0,-0.5773502691896258,-1.3737855080103385,2.8288072641370268,0.06194296213890344,2.4253562503633295,0.0,0.4813729078542602,M1,531,0,0
30,-0.17406927861720675,0.28330942746472304,1.0568302139204446,1.02885530640288,0.22343757162875472,-0.47556081165026776,0.4649816744951824,0.0,-0.5773502691896258,0.6672672459314578,-0.7883561227922862,-0.3406862868317593,-0.7276068751089989,0.0,0.4813729078542602,M1,16,1,1
35,-0.9352948231125657,0.2945496634493559,-1.6541407717628736,-1.5107849520258163,0.12210686293297526,0.8890680279459603,0.36313580611399754,0.0,1.7320508075688774,1.4836883486511654,-0.7883561227922862,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,M2,316,0,0
39,-1.5932200999416315,0.2839089067172368,-0.321646822083646,-0.21142810076021523,1.187093657561266,2.489621153296325,2.1564422591179957,0.0,-0.5773502691896258,0.2590566945716036,0.41736500618415173,-0.743315535802422,0.8488746876271653,0.0,0.4813729078542602,M4,32,0,0
40,0.19652049049751447,0.2878055218585762,-0.04233576367542427,-0.5444614693665184,-0.3307880593004112,0.45578684516206,-0.18420115850888372,0.0,-0.5773502691896258,-0.14915385393077654,0.41736500618415173,-0.3406862868317593,0.8488746876271653,0.0,0.4813729078542602,OPRD,136,0,1
44,0.7525280478020936,0.283983841623801,0.2208545553285676,-0.21284013641665336,0.6055762577236051,0.9859237977880689,1.1564097308001735,0.0,-0.5773502691896258,0.2590566945716036,0.41736500618415173,-0.3406862868317593,-0.7276068751089989,0.0,0.4813729078542602,OPRK,34,1,1
45,-0.6613327374783726,0.2829722203851841,0.7922518025722609,1.4027660407220732,0.2854804601047574,0.9859237977880689,0.6873155118754639,0.0,-0.5773502691896258,-1.3737855080103385,0.41736500618415173,0.867201457261824,0.8488746876271653,0.0,0.4813729078542602,OPRK,7,1,0
46,0.5047590336392498,0.28675643316667715,0.835812036805443,1.3499344470734,0.53046792890399,0.409912446088951,0.86400295540117,0.0,-0.5773502691896258,0.6672672459314578,-0.7883561227922862,-0.3406862868317593,-0.7276068751089989,0.0,0.4813729078542602,OPRK,108,0,1
48,0.8816361947122167,0.28360916709097994,-1.1363466659765575,-0.8351088823227986,-1.8004537894802983,-1.0920873514282106,-1.8421392250966373,0.0,-0.5773502691896258,0.2590566945716036,0.41736500618415173,-0.743315535802422,0.8488746876271653,0.0,0.4813729078542602,OPRM,24,0,1
50,0.9155707823454563,0.3030922427976769,-0.7633921184664745,-0.5691001422353992,-1.8004537894802983,-0.9273429353102259,-1.4950369235225776,0.0,-0.5773502691896258,0.6672672459314578,0.41736500618415173,-0.743315535802422,-0.7276068751089989,0.0,0.4813729078542602,OPRM,544,0,1
