Receptor,Score Type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality,EF
D2,rand,-0.11,30,6.2488384,1.5306394,3.7635684,34.754498,29.944866,32.537415,4,0,1,0,0,0,0,0,5,0,0.8,0,0.2,0,0,0,0,0,0,1.0101961
D2,rand,-0.99230766,8,12.042554,2.1936808,6.7579341,38.233829,28.803307,33.747189,2,1,2,0,0,0,0,0,5,0,0.4,0.2,0.4,0,0,0,0,0,0,0.95407408
D2,rand,-1.0545454,0,7.133049,0.9281643,3.9843481,40.71529,34.095772,36.162472,0,2,2,0,0,0,0,1,5,0,0,0.4,0.4,0,0,0,0,0.2,0,-999
D2,rand,-0.80000001,0,12.10115,4.0998521,8.5192881,41.119171,30.203703,36.614471,1,1,0,0,0,0,0,1,3,0,0.333333333,0.333333333,0,0,0,0,0,0.333333333,0,-999
D2,rand,-0.125,3,8.9596891,2.4286764,5.2086959,39.080784,31.261135,35.849892,3,0,0,0,0,0,2,0,5,0,0.6,0,0,0,0,0,0.4,0,0,0
D2,rand,-1.3888888,0,14.312606,1.469328,8.5678101,38.768597,26.462587,35.175995,1,0,3,0,0,0,0,0,4,0,0.25,0,0.75,0,0,0,0,0,0,-999
D2,rand,-0.40769231,1,6.9227395,0.8284359,3.5636823,37.665714,34.380592,35.652645,3,0,2,0,0,0,0,0,5,0,0.6,0,0.4,0,0,0,0,0,0,0
D2,rand,-1.4681145,0,10.760695,1.8033599,5.4759874,36.033497,27.930452,33.795685,1,1,1,0,2,0,0,0,5,0,0.2,0.2,0.2,0,0.4,0,0,0,0,-999
D2,rand,-0.23333333,0,8.6492834,3.5273144,5.79882,37.705048,29.982405,33.668358,3,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,-999
D2,rand,-0.52319103,1,12.759352,1.7431881,7.19981,40.079659,29.508244,33.8825,3,0,0,0,1,0,0,1,5,0,0.6,0,0,0,0.2,0,0,0.2,0,0
D2,rand,-2.606122,6,11.269075,2.3359823,5.8591061,39.392738,30.2124,33.846924,2,1,2,0,0,0,0,0,5,0,0.4,0.2,0.4,0,0,0,0,0,0,1.2266667
D2,rand,-2.3046641,2,4.226975,1.4563986,2.8306415,35.702057,32.413101,34.203285,1,1,1,0,1,0,0,1,5,0,0.2,0.2,0.2,0,0.2,0,0,0.2,0,0
D2,rand,-3.5865645,2,8.6899385,1.3265648,4.9460106,34.824917,27.746532,32.038906,2,0,1,0,2,0,0,0,5,0,0.4,0,0.2,0,0.4,0,0,0,0,0
D2,rand,-0.75999999,0,10.747453,2.1920481,7.7249293,41.010883,31.456875,36.203449,1,1,1,0,0,0,0,1,4,0,0.25,0.25,0.25,0,0,0,0,0.25,0,-999
D2,rand,-0.22,0,5.450593,1.8125546,3.7409163,37.918499,34.957764,36.917873,3,0,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0,0.25,0,-999
D2,rand,-0.55714285,9,3.7389982,1.0885706,2.1238127,32.203705,29.164013,30.773232,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0
D2,rand,-0.25,0,4.013092,2.1835566,3.0225339,32.123577,28.724344,30.634352,3,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,-999
D2,rand,-1.3307692,0,9.1967382,1.0771486,5.0640311,38.520538,30.569654,35.18417,2,1,1,0,0,0,0,1,5,0,0.4,0.2,0.2,0,0,0,0,0.2,0,-999
D2,rand,-2.3861573,0,13.207669,1.7935289,8.7249041,40.792835,28.803307,35.150013,2,0,2,0,0,0,0,0,4,0,0.5,0,0.5,0,0,0,0,0,0,-999
D2,rand,-0.63333333,0,13.878839,2.4407997,7.395185,43.379494,31.771761,35.947357,3,0,0,0,0,0,1,1,5,0,0.6,0,0,0,0,0,0.2,0.2,0,-999
D2,rand,-0.30000001,0,12.993057,2.3837268,7.4021864,38.997726,27.097498,32.169552,2,0,0,0,0,0,2,1,5,0,0.4,0,0,0,0,0,0.4,0.2,0,-999
D2,rand,-2.0823789,0,15.964404,2.1930799,7.9161224,38.479671,24.915276,34.687565,0,0,0,0,5,0,0,0,5,1,0,0,0,0,1,0,0,0,0,-999
D2,rand,-1.0166667,10,7.1017346,2.1904263,4.959341,39.502201,33.133812,36.151199,2,1,1,0,0,0,0,1,5,0,0.4,0.2,0.2,0,0,0,0,0.2,0,0.78060603
D2,rand,-0.36250001,3,11.158257,2.5359018,6.240315,37.02792,27.015545,32.536602,3,0,1,0,0,0,0,1,5,0,0.6,0,0.2,0,0,0,0,0.2,0,0
D2,rand,-0.9222222,0,23.27515,2.4236002,12.748483,47.819546,27.018091,37.901924,1,0,1,0,0,0,2,1,5,0,0.2,0,0.2,0,0,0,0.4,0.2,0,-999
D2,rand,-3.5436947,0,11.352807,2.537915,7.0482826,41.291084,30.91498,36.020016,1,1,1,0,1,0,0,1,5,0,0.2,0.2,0.2,0,0.2,0,0,0.2,0,-999
D2,rand,-0.39613357,0,14.209642,2.3731871,7.9245281,39.827621,26.899172,32.53434,2,0,2,0,0,0,1,0,5,0,0.4,0,0.4,0,0,0,0.2,0,0,-999
D2,rand,-0.64615387,96,6.1555195,1.9587479,4.0268993,35.807804,29.998629,33.28669,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0.81006289
D2,rand,-0.55454546,4,6.6170325,2.5055709,4.36731,39.978256,34.899796,36.969791,2,0,1,0,0,0,0,2,5,0,0.4,0,0.2,0,0,0,0,0.4,0,0
D2,rand,-1.9,114,7.1363058,1.4837703,4.3931074,35.183968,29.90122,32.542969,4,1,0,0,0,0,0,0,5,0,0.8,0.2,0,0,0,0,0,0,0,1.4933333
D2,rand,-2.5035517,0,6.152998,2.2023163,4.2166319,33.931194,29.998629,32.084621,1,0,0,0,2,0,2,0,5,0,0.2,0,0,0,0.4,0,0.4,0,0,-999
D2,rand,-0.60000002,0,9.1889114,2.1942842,6.0100951,38.207619,31.204842,34.386559,1,1,1,0,0,0,2,0,5,0,0.2,0.2,0.2,0,0,0,0.4,0,0,-999
D2,rand,-0.9375,0,4.6002917,0.58817512,2.725347,38.233829,34.751904,36.786995,0,2,2,0,0,0,0,1,5,0,0,0.4,0.4,0,0,0,0,0.2,0,-999
D2,rand,-1.6857142,0,16.16489,2.1920481,10.359118,41.010883,26.82707,34.301582,0,1,3,0,1,0,0,0,5,0,0,0.2,0.6,0,0.2,0,0,0,0,-999
D2,rand,-1.55,0,15.665201,7.790297,13.024,39.14695,24.868786,34.242222,1,0,0,0,1,0,0,1,3,0,0.333333333,0,0,0,0.333333333,0,0,0.333333333,0,-999
D2,rand,-0.51999998,0,15.958228,7.208662,10.981349,40.440948,24.915276,33.981651,2,0,1,0,1,0,0,0,4,0,0.5,0,0.25,0,0.25,0,0,0,0,-999
D2,rand,-0.47777778,2,8.0575476,1.6743022,4.3125162,38.207619,30.332474,33.581078,3,0,1,0,0,0,0,1,5,0,0.6,0,0.2,0,0,0,0,0.2,0,0
D2,rand,-2.2356164,0,9.7617321,2.2364049,5.8674717,37.925369,30.300549,34.283783,0,1,2,0,0,0,0,2,5,0,0,0.2,0.4,0,0,0,0,0.4,0,-999
D2,rand,-0.64285713,0,8.2662315,1.3192532,4.6821961,34.275154,26.04109,30.199757,0,1,1,0,1,0,2,0,5,0,0,0.2,0.2,0,0.2,0,0.4,0,0,-999
D2,rand,-0.73000002,2,6.4257274,0.90688479,3.5716743,35.665947,29.727144,33.905708,4,0,0,0,0,0,0,1,5,0,0.8,0,0,0,0,0,0,0.2,0,0
D2,rand,-1.27,2,6.1054044,2.1630657,3.685699,35.283813,29.367954,32.379528,0,3,2,0,0,0,0,0,5,0,0,0.6,0.4,0,0,0,0,0,0,0
D2,rand,-3.4565511,0,5.1590395,2.5373225,3.9046631,34.305397,29.508244,32.001255,2,0,0,0,0,0,0,1,3,0,0.666666667,0,0,0,0,0,0,0.333333333,0,-999
D2,rand,-1.4639475,0,13.884236,2.4278049,8.7157803,39.827621,27.217072,32.134041,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0.8,0.2,0,-999
D2,rand,-2.3,0,15.931346,2.524627,10.398022,40.464638,24.684618,34.735855,3,0,0,0,1,0,0,0,4,0,0.75,0,0,0,0.25,0,0,0,0,-999
D2,rand,-0.28235295,28,6.9129243,1.5306394,3.7725136,35.448414,29.944866,32.603313,5,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0
D2,rand,-2.1431131,2,7.284698,1.2355248,3.8424194,36.284611,29.181599,33.833012,4,0,0,0,1,0,0,0,5,0,0.8,0,0,0,0.2,0,0,0,0,0
D2,rand,-0.72500002,0,9.947566,1.4469347,5.3782945,34.865471,27.097498,30.637541,2,1,0,0,0,0,2,0,5,0,0.4,0.2,0,0,0,0,0.4,0,0,-999
D2,rand,-0.95784116,0,13.579638,1.4559488,8.0578318,39.085815,27.551899,33.435623,1,0,1,0,1,0,0,2,5,0,0.2,0,0.2,0,0.2,0,0,0.4,0,-999
D2,rand,-0.33571428,1,15.389414,2.1838832,7.5909758,41.719158,28.751278,36.670799,3,0,2,0,0,0,0,0,5,0,0.6,0,0.4,0,0,0,0,0,0,0
D2,rand,-0.20833333,44,4.7596884,1.417374,3.2693305,33.769619,29.34314,31.276722,4,0,1,0,0,0,0,0,5,0,0.8,0,0.2,0,0,0,0,0,0,1.178562
D2,rand,-0.1125,0,3.9244351,1.0525255,2.5980659,35.082848,31.261135,33.209877,4,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,-999
D2,rand,-0.89745528,5,5.5813284,2.4232807,3.454303,35.095097,29.559311,32.320866,3,0,0,0,0,0,2,0,5,0,0.6,0,0,0,0,0,0.4,0,0,0
D2,rand,-0.52999997,0,10.401564,2.0856991,6.690568,38.17207,29.998629,34.252808,2,1,0,0,0,0,0,1,4,0,0.5,0.25,0,0,0,0,0,0.25,0,-999
D2,rand,-0.17,65,8.4891891,2.1917784,4.8432226,35.968758,28.803307,32.550625,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,1.0443243
D2,rand,-1.5,0,#NAME?,Inf,NaN,35.856812,35.856812,35.856812,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-999
D2,rand,-0.47777778,0,9.6589384,2.0220673,5.7294769,36.905285,29.129684,33.000809,0,0,2,0,0,0,0,3,5,0,0,0,0.4,0,0,0,0,0.6,0,-999
D2,rand,-0.6783545,0,17.403547,3.3469186,8.8155146,42.678688,27.514772,34.33897,2,0,2,0,1,0,0,0,5,0,0.4,0,0.4,0,0.2,0,0,0,0,-999
D2,rand,-0.54615384,22,10.297717,2.2433569,5.0452447,37.146587,29.904272,32.424442,2,1,2,0,0,0,0,0,5,0,0.4,0.2,0.4,0,0,0,0,0,0,1.3210256
D2,rand,-1.4396006,0,8.0857229,3.5533314,5.5892,38.607708,35.231213,36.505238,0,0,1,0,1,0,0,1,3,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0,-999
D2,rand,-2.4000001,2,3.4144552,1.7324935,2.260988,41.010883,38.374722,39.796688,0,2,3,0,0,0,0,0,5,0,0,0.4,0.6,0,0,0,0,0,1,2.8622222
D2,rand,-0.55555558,1,14.927818,1.1924915,6.8667746,39.831028,27.973402,31.260187,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0
D2,rand,-1.9446591,55,6.7773213,1.0882684,4.0396452,39.575169,34.194118,36.13625,5,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0.30128655
D2,rand,-0.375,0,9.4763832,9.4763832,9.4763832,35.496597,27.015545,31.256071,1,0,1,0,0,0,0,0,2,0,0.5,0,0.5,0,0,0,0,0,0,-999
D2,rand,-2.2783742,14,3.5975561,1.5310944,2.380511,32.360027,29.738129,31.355831,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0
D2,rand,-0.8125,0,9.4739103,0.65297246,4.4390059,36.683601,29.058296,34.343109,0,2,3,0,0,0,0,0,5,0,0,0.4,0.6,0,0,0,0,0,0,-999
D2,rand,-0.44285715,1,4.0980387,1.4231353,2.6529019,35.700741,32.648026,34.60078,3,0,1,0,0,0,0,1,5,0,0.6,0,0.2,0,0,0,0,0.2,0,0
D2,rand,-0.13333334,0,8.4650517,4.0556126,5.7870755,34.882713,28.751278,31.696955,2,0,1,0,0,0,0,0,3,0,0.666666667,0,0.333333333,0,0,0,0,0,0,-999
D2,rand,-0.1,3,10.322546,1.4873003,5.5369177,38.761189,29.741117,33.486519,1,1,3,0,0,0,0,0,5,0,0.2,0.2,0.6,0,0,0,0,0,0,0
D2,rand,-2.7245178,0,20.36832,2.1827269,13.053971,43.330837,26.82707,37.79586,1,0,1,0,3,0,0,0,5,0,0.2,0,0.2,0,0.6,0,0,0,0,-999
D2,rand,-2.5712044,0,5.0791264,1.0977491,2.9069316,35.833412,31.097136,33.605003,1,1,0,0,2,0,0,0,4,0,0.25,0.25,0,0,0.5,0,0,0,0,-999
D2,rand,-2.943882,1,9.5650234,2.2068486,5.999732,35.335747,28.014708,31.372093,2,0,1,0,2,0,0,0,5,0,0.4,0,0.2,0,0.4,0,0,0,0,0
D2,rand,-0.36666667,0,5.6226883,2.2079134,3.8811164,32.446579,26.933765,29.468132,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0.666666667,0,0,0.333333333,0,-999
D2,rand,-0.94285715,0,14.701076,1.7583771,7.3119273,42.247498,28.185543,34.852589,1,1,2,0,0,0,0,1,5,0,0.2,0.2,0.4,0,0,0,0,0.2,0,-999
D2,rand,-0.69627607,1,9.6740532,2.5247457,5.9548111,38.032242,29.731659,34.234486,2,0,1,0,0,0,0,2,5,0,0.4,0,0.2,0,0,0,0,0.4,0,0
D2,rand,-0.85000002,2,15.021313,1.495008,6.641737,39.959953,27.746532,31.532461,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0
D2,rand,-0.79090911,1,3.2972505,1.062857,1.9921455,31.685905,29.164013,30.464136,4,1,0,0,0,0,0,0,5,0,0.8,0.2,0,0,0,0,0,0,0,0
D2,rand,-1.8909091,3,4.742919,0.76729196,2.8247275,33.204929,29.722784,31.233938,1,3,1,0,0,0,0,0,5,0,0.2,0.6,0.2,0,0,0,0,0,0,0
D2,rand,-0.19,5,4.9683099,1.0583223,3.182066,32.446579,29.904272,31.404474,3,0,1,0,0,0,0,1,5,0,0.6,0,0.2,0,0,0,0,0.2,0,0
D2,rand,-1.0166667,0,3.6231542,2.2035918,2.8887966,30.187435,28.247244,29.204575,1,0,0,0,2,0,0,0,3,0,0.333333333,0,0,0,0.666666667,0,0,0,0,-999
D2,rand,-1.8227713,0,12.664274,2.2272577,8.2655058,40.805847,28.295527,33.37347,1,0,1,0,2,0,0,0,4,0,0.25,0,0.25,0,0.5,0,0,0,0,-999
D2,rand,-0.76666665,0,12.875347,2.1942842,8.4848042,39.831028,33.33791,35.597614,1,1,0,0,0,0,2,0,4,0,0.25,0.25,0,0,0,0,0.5,0,0,-999
D2,rand,-0.23157895,5,5.4059186,1.0351956,3.1945205,35.833412,33.059875,34.730427,3,1,1,0,0,0,0,0,5,0,0.6,0.2,0.2,0,0,0,0,0,0,0
D2,rand,-2.7620053,0,10.512771,1.4224718,5.2587705,38.032242,29.42004,33.010403,0,2,2,0,1,0,0,0,5,0,0,0.4,0.4,0,0.2,0,0,0,0,-999
D2,rand,-3.3659389,0,9.7880659,4.9776978,7.683074,40.71529,30.987551,36.799755,1,0,0,0,0,1,0,1,3,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333,0,-999
