Receptor,subset,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
H1,rec_gh,dU,-2.86,47,0.949520234,8.034049,0.84670717,4.4377789,7.431881,5.3490462,6.3645091,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M1,rec_gh,dE(class),-3.80454,21,1.17805383,7.8266611,1.4486808,4.453043,8.9225159,5.056201,6.663878,3,0,2,0,2,0,0,0,7,0,0.428571429,0,0.285714286,0,0.285714286,0,0,0,0
M1,rec_gh,dE,-3.53682,1,8.246376812,15.280124,1.2329055,8.7255592,9.8283587,5.056201,6.539505,1,0,4,0,2,0,0,0,7,0,0.142857143,0,0.571428571,0,0.285714286,0,0,0,1
M1,rec_gh,dU(class),-0.410526,67,2.338524767,13.498422,0.67529327,5.568347,9.04597,5.0444927,7.4187679,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,1
M1,rec_gh,dU,-2.91323,26,1.585841695,19.491528,0.18783355,7.6659288,10.70926,5.3388891,7.5424819,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
M2,rec_gh,dE(class),-2.69229,3,3.578616352,19.069183,1.5318424,9.0416975,10.116345,6.2919364,8.0881624,4,0,0,0,3,0,0,0,7,0,0.571428571,0,0,0,0.428571429,0,0,0,1
M2,rec_gh,dE,-6.67464,4,5.367924528,19.069183,1.4812609,11.762309,10.116345,5.467844,8.6472845,0,0,1,0,6,0,0,0,7,0,0,0,0.142857143,0,0.857142857,0,0,0,1
M2,rec_gh,dU(class),-2.98996,1,10.73584906,10.643407,0.61427927,4.7690578,10.03732,8.4113445,9.0194111,5,0,0,0,2,0,0,0,7,0,0.714285714,0,0,0,0.285714286,0,0,0,1
M2,rec_gh,dU,-4.53571,308,1.080556236,2.4943917,0.61427927,1.6372213,10.321294,8.2595034,8.9073706,4,0,0,0,3,0,0,0,7,0,0.571428571,0,0,0,0.428571429,0,0,0,0
M4,rec_gh,dE(class),-0.586667,19,2.101569714,17.830946,1.467259,10.135845,11.474718,2.5174551,7.2144852,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,1
M4,rec_gh,dE,-1.72353,34,0.880804954,17.830946,1.249692,9.5540123,11.474718,2.6796622,6.8448973,2,0,3,0,2,0,0,0,7,0,0.285714286,0,0.428571429,0,0.285714286,0,0,0,0
M4,rec_gh,dU(class),-4.57544,558,0.912375024,6.2476401,0.62902701,3.1391523,11.474718,7.5174189,9.0679245,2,0,1,0,4,0,0,0,7,0,0.285714286,0,0.142857143,0,0.571428571,0,0,0,0
M4,rec_gh,dU,-6.67139,40,0.499122807,4.6616635,0.68551046,2.5542939,8.9425039,4.8954334,7.5081263,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
OPRD,rec_gh,dE(class),-3.85669,444,1.018653269,10.009382,0.52574611,5.2146611,9.9242821,3.8044081,8.0964403,2,0,1,0,4,0,0,0,7,0,0.285714286,0,0.142857143,0,0.571428571,0,0,0,0
OPRD,rec_gh,dE,-4.66852,43,0.678592725,17.286213,1.2415793,8.8136806,9.7123919,7.8375502,8.7653074,1,0,2,0,4,0,0,0,7,0,0.142857143,0,0.285714286,0,0.571428571,0,0,0,0
OPRD,rec_gh,dU(class),-3.09911,273,1.336057105,9.5640659,0.7712211,6.0848331,9.7103195,3.8044081,7.2347322,3,0,2,0,2,0,0,0,7,0,0.428571429,0,0.285714286,0,0.285714286,0,0,0,0
OPRD,rec_gh,dU,-5.35913,499,1.081804635,3.9322362,0.74671113,2.0477686,9.7103195,8.0832396,8.849658,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
OPRK,rec_gh,dE(class),-3.75059,494,1.09011712,14.645041,1.4723023,9.9400692,9.8520746,4.5931778,7.1429324,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
OPRK,rec_gh,dE,-5.32062,151,1.480368969,11.0444,0.58832049,4.8165736,6.6114206,4.5931778,5.9498806,3,0,3,0,1,0,0,0,7,0,0.428571429,0,0.428571429,0,0.142857143,0,0,0,0
OPRK,rec_gh,dU(class),-2.64,511,1.113502935,14.617838,0.67271835,6.9741659,9.8228512,5.6709118,6.8637562,4,0,3,0,0,0,0,0,7,0,0.571428571,0,0.428571429,0,0,0,0,0,0
OPRK,rec_gh,dU,-5.56058,1,10.16071429,14.246109,0.93136621,8.2048025,10.810452,4.5931778,7.2248783,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
OPRM,rec_gh,dE(class),-1.79712,469,1.052983063,17.451443,2.0691185,11.526173,9.7044811,6.7675872,8.3901386,2,0,2,0,3,0,0,0,7,0,0.285714286,0,0.285714286,0,0.428571429,0,0,0,0
OPRM,rec_gh,dE,-4.63128,209,0.87325088,17.739767,1.4206939,11.489635,10.162963,7.7476344,8.7197123,1,0,1,0,5,0,0,0,7,0,0.142857143,0,0.142857143,0,0.714285714,0,0,0,0
OPRM,rec_gh,dU(class),-3.54089,531,1.071563089,14.44929,1.5313344,7.2759089,9.7044811,5.9905086,8.0621996,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
OPRM,rec_gh,dU,-4.55808,466,1.128876832,16.35857,0.62920266,8.9878902,10.09668,7.0014529,8.4275799,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
