Receptor,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
M1,dE,-6.23532,8,2.061594203,14.90195,0.78234535,8.5156193,8.9997473,4.990272,7.0689797,1,0,2,0,4,0,0,0,7,0,0.142857143,0,0.285714286,0,0.571428571,0,0,0,1
M1,dU(class),-3.77375,10,3.298550725,15.750606,1.4727046,9.2619305,8.4722357,3.4663563,6.7366028,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,1
M1,dU,-7.6867,40,0.412318841,4.7795277,0.12852801,2.6933727,8.1346941,6.04603,7.0548658,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M2,dE(class),-0.973077,2,5.367924528,12.439044,1.4723223,7.241148,10.974418,3.8195379,6.8438292,4,0,3,0,0,0,0,0,7,0,0.571428571,0,0.428571429,0,0,0,0,0,1
M2,dE,-1.83571,45,1.431446541,9.8536129,0.6573903,5.5617719,10.974418,3.8195379,7.5572782,2,0,4,0,1,0,0,0,7,0,0.285714286,0,0.571428571,0,0.142857143,0,0,0,0
M2,dU(class),-0.1,6,5.367924528,11.568931,0.9248811,6.3186474,7.757431,4.7108183,6.5090795,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1
M2,dU,-4.52,316,0.679484118,3.8346646,0.58669281,2.080905,8.557478,5.6529856,6.8281894,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
M4,dE(class),-1.36364,1,9.98245614,11.474065,1.0822611,7.2352524,9.1432219,3.9042709,6.1366382,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
M4,dE,-0.866667,536,1.024319194,11.073898,0.63402683,5.6759725,6.4579296,2.8429594,4.3731894,4,0,3,0,0,0,0,0,7,0,0.571428571,0,0.428571429,0,0,0,0,0,0
M4,dU(class),-0.496552,16,2.495614035,17.004698,2.5217268,9.2759943,11.223299,3.1334169,6.578846,5,0,2,0,0,0,0,0,7,0,0.714285714,0,0.285714286,0,0,0,0,0,1
M4,dU,-5.91718,32,0.935855263,9.357235,0.72479379,5.2971921,10.277767,8.2165174,9.4009094,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
OPRD,dE(class),-2.2619,45,1.945299145,10.848692,0.75247192,4.8821697,6.5754137,4.3214908,5.5546427,4,0,1,0,2,0,0,0,7,0,0.571428571,0,0.142857143,0,0.285714286,0,0,0,0
OPRD,dE,-4.68384,431,1.117080136,11.441317,1.2978232,7.2251129,6.3007898,4.6065035,5.6577106,1,0,4,0,2,0,0,0,7,0,0.142857143,0,0.571428571,0,0.285714286,0,0,0,0
OPRD,dU(class),-1.23179,8,1.823717949,11.176764,1.4635246,6.2419691,8.233264,4.9590192,6.1521101,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,0
OPRD,dU,-5.87894,-99999,0,3.4745793,0.65609413,2.1070592,6.40803,3.7024696,5.2360616,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRK,dE(class),-3.19763,92,1.435753106,16.655567,2.3205085,10.058414,10.044007,7.6001987,8.6605024,3,0,1,0,3,0,0,0,7,0,0.428571429,0,0.142857143,0,0.428571429,0,0,0,0
OPRK,dE,-7.71264,15,0.677380952,14.978769,0.62525755,5.2918143,7.9658022,4.6617026,6.6762528,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRK,dU(class),-1.50436,164,1.363022648,14.747588,2.3205085,9.359889,10.044007,3.9110763,8.1842833,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
OPRK,dU,-7.66088,14,0.725765306,15.37549,0.67410535,7.6947832,8.1645851,5.7663722,7.3688827,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRM,dE(class),-1.41256,74,1.305711372,11.068575,2.5246232,6.4905229,7.9183292,3.4692664,5.4092979,4,0,2,0,1,0,0,0,7,0,0.571428571,0,0.285714286,0,0.142857143,0,0,0,0
OPRM,dE,-4.6414,-99999,0,3.7112939,0.70785379,2.0991178,5.6896806,3.1957371,4.1508613,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRM,dU(class),-1.47699,31,1.038953135,11.594953,2.5246232,8.2136631,7.9183292,4.7596478,5.9329085,5,0,1,0,1,0,0,0,7,0,0.714285714,0,0.142857143,0,0.142857143,0,0,0,0
OPRM,dU,-4.46688,-99999,0,3.6523716,0.53926897,1.9024442,5.6896806,3.4804885,4.5820413,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
