Receptor,subset,Score Type,s_score,Hits,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop
GPR101_5ZKC_inactive,moefrags,dU,-6.85541,0,8.6115551,0.14705928,4.9811139,9.3553753,4.8949237,7.9275384,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0.857142857,0,0.142857143,0
GPR101_5ZKC_inactive,ef,dE(class),-0.55,21,17.77244,2.1910019,10.565806,11.767721,5.9490623,8.5780344,2,1,4,0,0,0,0,0,7,0,0.285714286,0.142857143,0.571428571,0,0,0,0,0
GPR101_5ZKC_inactive,ef,dE,-1.2,7,18.031454,2.4222581,10.807171,11.140818,5.0238013,7.9102907,1,1,3,0,1,1,0,0,7,0,0.142857143,0.142857143,0.428571429,0,0.142857143,0.142857143,0,0
GPR101_5ZKC_inactive,ef,dU(class),-0.1125,179,14.06023,1.2501072,6.7006521,12.241824,5.9490623,9.6704073,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,ef,dU,-5.54517,4,7.7295427,1.361971,4.1690431,9.3553753,6.3690643,8.1893539,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0
GPR101_5ZKC_inactive,gh,dE(class),-0.390909,214,13.082925,2.1910019,7.3333526,11.767721,5.4806981,8.2136602,2,1,3,0,0,1,0,0,7,0,0.285714286,0.142857143,0.428571429,0,0,0.142857143,0,0
GPR101_5ZKC_inactive,gh,dE,-2.29091,1,17.510366,1.1225119,7.5781426,12.05803,5.6220984,9.5768185,1,0,0,0,5,1,0,0,7,0,0.142857143,0,0,0,0.714285714,0.142857143,0,0
GPR101_5ZKC_inactive,gh,dU(class),-0.122222,284,8.580307,0.89843607,4.3094854,11.297175,5.9490623,9.3508072,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,gh,dU,-6.29107,0,7.5227308,0.29262048,3.1894658,9.5319624,6.7791533,8.3972988,0,2,0,0,3,0,0,2,7,0,0,0.285714286,0,0,0.428571429,0,0,0.285714286
GPR101_5ZKC_inactive,rec_ef,dE(class),-1.27857,11,18.19803,2.4222581,9.4349957,10.307111,5.0238013,7.5724354,2,1,2,0,1,0,0,1,7,0,0.285714286,0.142857143,0.285714286,0,0.142857143,0,0,0.142857143
GPR101_5ZKC_inactive,rec_ef,dE,-1.76667,16,13.341911,2.4222581,8.4473686,9.2103138,5.0152292,6.9916487,0,2,3,0,2,0,0,0,7,0,0,0.285714286,0.428571429,0,0.285714286,0,0,0
GPR101_5ZKC_inactive,rec_ef,dU(class),-0.125,38,8.9581718,0.63417506,3.4729939,11.973162,5.8417583,10.007337,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,rec_ef,dU,-5.04854,0,6.658361,1.3566151,3.1962974,9.3553753,6.3690643,8.0384846,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0
GPR101_5ZKC_inactive,rec_gh,dE(class),-0.166667,19,17.437889,1.2126063,9.8994665,11.386856,5.9523849,9.0287523,6,0,1,0,0,0,0,0,7,0,0.857142857,0,0.142857143,0,0,0,0,0
GPR101_5ZKC_inactive,rec_gh,dE,-2.10833,0,17.510366,1.1225119,8.9921379,12.05803,5.6220984,9.2833443,1,0,1,0,5,0,0,0,7,0,0.142857143,0,0.142857143,0,0.714285714,0,0,0
GPR101_5ZKC_inactive,rec_gh,dU(class),-0.1125,22,17.682201,1.2126063,8.9544373,12.138697,7.1230917,9.8977728,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0
GPR101_5ZKC_inactive,rec_gh,dU,-7.53047,0,16.472689,0.69863063,11.10898,11.552415,5.4689178,8.4891558,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0
