Receptor,subset,Score Type,s_score,Hits,Enrichment,max_feat,min_feat,avg_feat,max_centr,min_centr,avg_centr,hyd,don,acc,donhyd,catdon,hydaro,aniacc,donacc,features,all_same,hyd_prop,don_prop,acc_prop,donhyd_prop,catdon_prop,hydaro_prop,aniacc_prop,donacc_prop,quality
H1,moefrags,dU(class),-0.2,567,1.003527337,15.473507,0.982858,6.3115444,9.1777706,4.5954642,7.2654676,4,1,0,0,0,2,0,0,7,0,0.571428571,0.142857143,0,0,0,0.285714286,0,0,0
H1,moefrags,dU,-1.32722,6,1.859477124,14.923823,0.95125997,9.4270496,10.959352,5.6656356,7.9908786,1,0,0,0,2,0,4,0,7,0,0.142857143,0,0,0,0.285714286,0,0.571428571,0,0
M1,moefrags,dE(class),-1.9208,31,1.064048621,7.0277243,0.10205755,4.1739082,9.0355549,5.056201,7.0299535,4,1,1,0,1,0,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0,0,0,0
M1,moefrags,dE,-4.96681,161,0.460977586,12.300966,0.57153654,4.809051,7.5412936,4.8561149,5.6942596,0,1,0,0,5,1,0,0,7,0,0,0.142857143,0,0,0.714285714,0.142857143,0,0,0
M1,moefrags,dU(class),-0.72,6,2.748792271,7.6105876,1.0801699,4.0606174,8.9225159,3.6838655,6.5087337,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,1
M1,moefrags,dU,-5.98534,14,0,15.303994,0.15583627,5.5542541,10.113561,5.0321321,6.2534199,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
M2,moefrags,dE(class),-0.378571,11,3.903945111,17.773615,1.5309467,9.8487959,10.03732,7.0964193,8.8454275,5,0,0,0,0,1,0,1,7,0,0.714285714,0,0,0,0,0.142857143,0,0.142857143,1
M2,moefrags,dE,-4.17346,2,5.367924528,17.421717,2.3026588,9.1911974,10.116345,0.9704445,6.7537117,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,1
M2,moefrags,dU(class),-1.74521,4,8.051886792,17.773615,1.0302582,9.7616272,10.03732,7.0964193,8.9457407,6,0,0,0,1,0,0,0,7,0,0.857142857,0,0,0,0.142857143,0,0,0,1
M2,moefrags,dU,-5.3769,14,1.533692722,10.032668,2.1219175,5.7285991,9.9045973,0.9704445,5.6718373,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
M4,moefrags,dE(class),-1.85385,551,0.851498074,11.24939,1.3384842,5.6042824,11.474718,1.9664854,5.9885821,2,1,1,0,0,1,0,2,7,0,0.285714286,0.142857143,0.142857143,0,0,0.142857143,0,0.285714286,0
M4,moefrags,dE,-1.13571,5,1.996491228,10.863677,1.3384842,5.7881103,11.474718,1.9664854,5.6849031,3,1,1,0,0,2,0,0,7,0,0.428571429,0.142857143,0.142857143,0,0,0.285714286,0,0,0
M4,moefrags,dU(class),-1.78462,509,0.862923517,10.048429,0.67223656,4.5936022,11.474718,1.9664854,7.4338293,2,2,2,0,0,0,0,1,7,0,0.285714286,0.285714286,0.285714286,0,0,0,0,0.142857143,0
M4,moefrags,dU,-6.37879,18,0.554580897,5.4896355,0.64488661,3.2142088,8.571414,4.0111585,7.2034092,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
OPRD,moefrags,dE(class),-1.41735,121,1.326340326,15.843166,1.5433264,9.2038441,9.7123919,3.8044081,7.4038529,3,0,1,0,1,1,0,1,7,0,0.428571429,0,0.142857143,0,0.142857143,0.142857143,0,0.142857143,0
OPRD,moefrags,dE,-4.64122,33,0.442113442,4.6813898,0.55785662,2.2067888,9.9242821,7.9896135,9.1991844,1,0,0,0,6,0,0,0,7,0,0.142857143,0,0,0,0.857142857,0,0,0,0
OPRD,moefrags,dU(class),-0.59375,223,1.046797746,8.7385683,1.1666714,5.334064,9.3818321,3.6702714,5.7783661,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRD,moefrags,dU,-4.84079,22,1.326340326,5.7678494,0.51202929,2.9896109,9.8067245,8.1916513,9.144289,2,0,0,0,5,0,0,0,7,0,0.285714286,0,0,0,0.714285714,0,0,0,0
OPRK,moefrags,dE(class),-0.9,532,1.069548872,14.672252,1.4723023,9.0024605,9.8813,5.7090173,7.5026956,5,1,1,0,0,0,0,0,7,0,0.714285714,0.142857143,0.142857143,0,0,0,0,0,0
OPRK,moefrags,dE,-3.76146,52,1.758585165,12.961965,1.4723023,8.2738686,10.138853,3.6066039,6.2640586,1,0,3,0,3,0,0,0,7,0,0.142857143,0,0.428571429,0,0.428571429,0,0,0,0
OPRK,moefrags,dU(class),-1.47857,261,1.245758073,14.672252,1.1671053,7.8480549,9.8813,2.9462502,6.2734203,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRK,moefrags,dU,-5.79846,1,10.16071429,12.510615,1.4067857,8.4556503,10.138853,4.1060524,7.0252299,0,0,0,0,6,0,1,0,7,0,0,0,0,0,0.857142857,0,0.142857143,0,1
OPRM,moefrags,dE(class),-1.2,63,1.36328242,17.513536,1.164958,8.9759531,10.255476,7.7476344,8.8721304,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,moefrags,dE,-4.30481,15,0,16.135996,0.52009708,10.516305,10.255476,7.8136396,8.7845535,0,1,0,0,6,0,0,0,7,0,0,0.142857143,0,0,0.857142857,0,0,0,0
OPRM,moefrags,dU(class),-1.44286,469,1.144546808,14.44929,1.0685381,6.868413,9.7044811,6.8737245,8.1040087,4,1,1,0,0,1,0,0,7,0,0.571428571,0.142857143,0.142857143,0,0,0.142857143,0,0,0
OPRM,moefrags,dU,-5.68727,14,0,15.177173,0.11957087,8.7627935,9.2611647,7.0579042,8.3573132,0,0,0,0,7,0,0,0,7,1,0,0,0,0,1,0,0,0,0
