,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
3,-0.8155287729812595,-0.8965093433178957,-1.1753677057304386,-1.1022519233504515,0.5950753222740054,1.136502941216677,1.0866446928373692,0.0,-0.6969320524371695,-0.7276068750224473,-0.727606875108999,1.0536438167783684,0.0,0.0,-2.7688746209726913,5HT1B,2,dU,rec_ef,5,1,0
6,1.4886053113898492,-0.8965093433178957,0.6499027920034113,0.9212964976867887,-0.3417136441094026,0.5589430082097646,0.0997542411518032,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.7688746209726913,5HT2B,2,dU(class),rec_ef,6,1,1
16,1.3959667456238134,-0.8821622508314788,-0.985447315359599,-1.015490000399392,-1.918059645230459,-1.8564985784572836,-2.170930177548382,0.0,-0.6969320524371695,1.3743685415455793,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.7688746209726913,A2C,5,dE(class),rec_ef,6,1,0
18,1.4946956739044561,-0.8725975225072009,-0.9789808972849828,-1.038950872624045,-1.886961766928601,-1.8564985784572836,-2.1921998247112815,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.7688746209726913,A2C,7,dU(class),rec_ef,6,1,0
19,-0.6078323373876029,-0.8391209733722281,-1.9710634915379939,-1.9601978706875516,-3.0179297261070133,-1.42618026627083,-2.464519846888899,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,-2.7688746209726913,A2C,14,dU,rec_ef,3,1,0
34,1.4982218959526439,-0.8821622508314788,0.06134690384021791,0.02713389520874186,-0.35921238020079466,0.09627851259515412,0.10832761931692178,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.7688746209726913,M2,5,dU(class),rec_ef,6,1,1
