,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,quality,quality_pred
3,-0.8155287729812595,-0.8963432804192571,-1.1753677057304386,-1.1022519233504515,0.5950753222740054,1.136502941216677,1.0866446928373692,0.0,-0.6969320524371695,-0.7276068750224473,-0.727606875108999,1.0536438167783684,0.0,0.0,-2.185812841434,5HT1B,2,1,1
6,1.4886053113898492,-0.9011252492898637,0.6499027920034113,0.9212964976867887,-0.3417136441094026,0.5589430082097646,0.0997542411518032,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.185812841434,5HT2B,1,1,1
11,-1.2484919301203956,-0.82461374736016,-1.2925503658344337,-1.3034054809678743,-1.6498066673552412,-1.990037309807633,-2.333341997296831,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,-2.185812841434,5HT2C,17,0,0
16,1.3959667456238134,-0.8819973738074377,-0.985447315359599,-1.015490000399392,-1.918059645230459,-1.8564985784572836,-2.170930177548382,0.0,-0.6969320524371695,1.3743685415455793,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.185812841434,A2C,5,1,0
18,1.4946956739044561,-0.8724334360662248,-0.9789808972849828,-1.038950872624045,-1.886961766928601,-1.8564985784572836,-2.1921998247112815,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.185812841434,A2C,7,1,0
19,-0.6078323373876029,-0.8389596539719795,-1.9710634915379939,-1.9601978706875516,-3.0179297261070133,-1.42618026627083,-2.464519846888899,0.0,1.4348601079588785,-1.1480019589246055,-0.727606875108999,1.402621387117971,0.0,0.0,-2.185812841434,A2C,14,1,0
34,1.4982218959526439,-0.8819973738074377,0.06134690384021791,0.02713389520874186,-0.35921238020079466,0.09627851259515412,0.10832761931692178,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.185812841434,M2,5,1,1
38,1.4923452118102385,-0.8867793426780443,1.6579087045260097,1.2582884236273435,1.4611644560105568,-0.08650184967136654,0.152625875469234,0.0,1.4348601079588785,1.7947636254477375,-0.727606875108999,-1.0402216028164037,0.0,0.0,-2.185812841434,M4,4,1,1
45,-1.4274422777705973,-0.8867793426780443,0.7451807464822042,1.0695620147022686,1.306768184297422,-0.38379135789173147,0.3941851929764993,0.0,-0.6969320524371695,-0.7276068750224473,-0.727606875108999,1.0536438167783684,0.0,0.0,-2.185812841434,OPRK,4,1,0
