,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,s_score,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters
113127,21,9.0496368,4.9645475999999995,6.6014462,2.6967907,4.2299705,5,1,-1.8181819,1.0,0.0,0.0,0.0,0.0,0
48190,0,4.7602658,3.4017975,7.968053299999999,6.120489599999999,6.844327000000001,3,0,-1.9,0.333333333,0.333333333,0.0,0.0,0.0,1
108690,3,15.201386,9.5838757,10.995864,5.8952446,7.9519625,5,0,-1.8851398999999998,0.8,0.0,0.0,0.0,0.0,2
89701,3,12.076724,8.3182507,11.18903,3.7747061,7.329955099999999,5,0,-0.76666665,0.6,0.2,0.0,0.0,0.0,2
63299,1,12.374022,8.360411599999999,14.090467000000002,3.6387527000000004,7.4096851,5,0,-0.25999999,0.4,0.0,0.0,0.0,0.0,2
40217,0,5.6131005,4.190184599999999,6.8820181,2.7735496,5.076356400000001,4,0,-1.09375,0.25,0.25,0.0,0.0,0.0,1
98675,0,10.317594,9.297137300000001,13.234791,6.622140400000001,10.200531,3,0,-3.3320248,0.666666667,0.333333333,0.0,0.0,0.0,2
79310,0,11.92786,11.92786,8.771766699999999,6.803673299999999,7.7877197,2,0,-0.31428573,0.5,0.0,0.0,0.0,0.0,2
5189,2,8.0321054,6.0756807,7.640259299999999,4.8582797,6.3415608,5,0,-2.9173937000000003,0.0,0.6,0.0,0.0,0.0,1
58551,5,9.2572222,6.2468905,11.396101,5.4803839000000005,7.8261356,5,0,-3.7,0.4,0.2,0.0,0.0,0.0,1
5033,0,7.917231599999999,5.492989499999999,6.0660725,4.761300599999999,5.2443304,3,0,-1.124055,0.0,0.0,0.333333333,0.0,0.0,1
87320,5,9.9703922,7.060865400000001,8.320630099999999,3.2674036,5.608370799999999,5,0,-0.38,0.6,0.0,0.0,0.0,0.0,1
96527,0,3.1432815,2.7516979999999998,7.2908583,4.8079977,6.0636778,3,0,-0.22857143,0.666666667,0.0,0.0,0.0,0.0,1
108678,0,15.179825,9.251296,15.197187,4.2962976,8.755195599999999,5,0,-0.27777779,0.8,0.0,0.0,0.0,0.0,2
60452,2,10.626038000000001,6.4393897,10.388755999999999,2.8144807999999997,7.3808727,5,0,-2.6704627999999997,0.4,0.0,0.0,0.0,0.0,1
6355,0,8.8284769,8.4347343,10.129325999999999,2.6031959,7.231563599999999,3,0,-1.45,0.0,0.0,0.0,0.0,0.0,1
30724,0,12.472526,7.130961900000001,10.05562,5.6507392,7.2183738,5,0,-2.3444445,0.2,0.2,0.4,0.0,0.0,2
109331,7,16.840158,8.184082,12.651014,5.079153099999999,7.4224796,5,0,-0.85714287,0.8,0.0,0.0,0.0,0.0,2
2894,0,5.9303112,3.0749409,8.247392699999999,2.6524429,6.478056400000001,5,0,-1.3336545,0.0,0.0,0.0,0.0,0.8,1
97805,0,8.090566599999999,5.8701324,9.3713017,2.4271202,6.4691124,3,0,-0.47499999,0.666666667,0.0,0.0,0.0,0.0,1
104857,108,7.166693700000001,4.3864851,5.222856,1.2757372,3.2301342,5,0,-0.34545454,0.8,0.0,0.0,0.0,0.0,3
104150,17,4.375396299999999,2.6263278,4.992137400000001,3.7046883000000004,4.3797445,5,0,-1.646407,0.8,0.0,0.2,0.0,0.0,1
54603,0,22.591835,16.945667,13.384223,8.0494633,10.409166,3,0,-1.8833332999999999,0.333333333,0.666666667,0.0,0.0,0.0,2
44438,0,13.154095000000002,10.09013,13.343451000000002,7.055633500000001,9.4553795,4,0,-0.85000002,0.25,0.0,0.0,0.0,0.0,2
85259,44,7.7163711,4.6810602999999995,8.6374073,6.247273000000001,7.6009579,5,0,-0.1,0.6,0.0,0.0,0.0,0.0,0
80069,0,13.039944,7.206607300000001,9.1981258,6.1371665,7.5294371,4,0,-0.32222223,0.5,0.0,0.0,0.0,0.0,2
28261,0,10.858604,6.3860187999999996,8.9752026,5.9349442,7.5581436,5,0,-2.5956387999999997,0.2,0.0,0.8,0.0,0.0,1
61918,1,11.550803,7.485363499999999,10.330625,4.1764603,6.753200099999999,5,0,-0.51111114,0.4,0.0,0.0,0.0,0.0,1
42382,0,10.135014,6.4619379,8.6059246,4.7888402999999995,6.0508475,4,0,-2.0,0.25,0.0,0.5,0.0,0.0,1
61251,0,11.133298,7.696105499999999,14.467601,4.660612599999999,10.263834,5,0,-0.93636364,0.4,0.2,0.0,0.0,0.0,2
36296,0,17.036888,10.406917,13.202217000000001,2.7381051,7.6888122999999995,5,0,-2.9738235,0.2,0.0,0.2,0.0,0.0,2
65758,0,14.169769,6.951860400000001,9.292569199999999,5.8780513,7.5137444,5,0,-1.3083333000000001,0.4,0.0,0.0,0.0,0.4,2
101730,0,8.8978529,5.4891801,10.058411,4.7262087,8.1231985,4,0,-0.68000001,0.75,0.0,0.0,0.0,0.0,1
24789,7,8.114994,4.6314554,12.2981,5.9532685,10.261841,5,0,-3.4143623999999995,0.2,0.4,0.0,0.0,0.0,1
