,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,Score Type,subset,match_features,quality,quality_pred
0,0.9661722257120537,-0.5404651753619618,-0.23337536480618254,0.19548615084495005,-2.57508047510241,-0.2539175764128668,-1.4142634057268362,0.08804509063256206,-0.3040344960525302,0.7432889068280304,0.7957587675990379,-0.9763250612123255,1.01074599400482,-0.07542070101517723,-0.8563488385776751,5HT1B,81,dE(class),moefrags,5,0,0
3,-2.034391696729275,-0.6840966398590878,-0.11318239199573091,-0.13569663488671335,0.8176788886772579,-0.40125996415059156,-0.6250786383690108,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,-0.8594194690069608,1.3935926181124767,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,5HT1B,49,dU,moefrags,3,0,0
5,-0.5851524734812878,-0.8681244537460304,0.2527552641449194,-0.30628792014735756,-0.2888773753627625,-0.38726697207334504,-0.49639970615804613,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,0.7957587675990379,-0.18635250051575694,1.01074599400482,-0.07542070101517723,-0.8563488385776751,5HT2B,8,dE,moefrags,5,1,0
6,1.2253318407788891,-0.5314882088308914,0.2527552641449194,-0.5062913768570415,-0.2888773753627625,-0.11836742845294267,0.1159014470928588,0.08804509063256206,-0.3040344960525302,0.7432889068280304,0.7957587675990379,-0.9763250612123255,1.01074599400482,-0.07542070101517723,-0.8563488385776751,5HT2B,83,dU(class),moefrags,5,0,1
7,-1.2437775086571898,-0.8232396210906785,0.2157991825223132,-0.42261011715471997,-0.2308953919977065,-0.24204080465966565,-0.9154704628624787,0.08804509063256206,3.2891004572955533,-1.5126073897096164,-0.8594194690069608,1.7885788984607607,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,5HT2B,18,dU,moefrags,3,0,0
8,0.3035603621490028,-0.8860783868081712,-0.8886426840989031,-1.13457943384046,-0.3925505352729546,0.8929582868718601,0.42187045357166975,0.08804509063256206,-0.3040344960525302,0.17931483565448264,0.7957587675990379,-0.5813387808640412,2.673998895531739,-0.07542070101517723,-0.8563488385776751,5HT2C,4,dE(class),moefrags,6,0,1
9,-0.4346484698428072,-0.7020505729212285,0.20112529594804832,0.9676192191259568,-0.3925505352729546,-0.5595781892084623,-0.6322674792502433,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,2.4509370042050365,0.20863377983252746,1.01074599400482,-0.07542070101517723,-0.8563488385776751,5HT2C,45,dE,moefrags,4,0,0
11,-0.8460507202600964,-0.7334699557799749,-1.8896530984200175,-1.7945626280296874,0.8382484934575322,0.8956600970517575,1.5128693399025608,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,-0.8594194690069608,1.3935926181124767,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,5HT2C,38,dU,moefrags,3,0,1
12,1.1507515382293254,-0.6840966398590878,0.06215909548568819,0.42155018429638536,-1.5039237057509038,0.31398879774038146,-0.7166408649065191,0.08804509063256206,-0.3040344960525302,0.7432889068280304,0.7957587675990379,-0.9763250612123255,1.01074599400482,-0.07542070101517723,-0.8563488385776751,A2A,49,dE(class),moefrags,5,0,0
14,1.1955528446169297,-0.8411935541528193,0.3803846261935021,0.3804870368490476,-0.2909340958594016,0.3153883364651058,-0.1830849870528522,0.08804509063256206,-0.3040344960525302,0.7432889068280304,0.7957587675990379,-0.9763250612123255,1.01074599400482,-0.07542070101517723,-0.8563488385776751,A2A,14,dU(class),moefrags,5,1,1
15,-0.2629093073412544,-0.7469354055765803,-1.1106029461303604,-1.2516805039362293,1.3488416957911142,0.10428366078078496,1.7474768946764367,0.08804509063256206,-0.3040344960525302,-0.38465923946688374,-0.8594194690069608,0.998606337764192,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,A2A,35,dU,moefrags,4,1,1
17,-0.2145351324979234,-0.8232396210906785,0.3504979038859511,-0.046906493492938614,-0.7654654548711128,-0.6851180454525422,-0.9483760259716075,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,2.4509370042050365,0.20863377983252746,1.01074599400482,-0.07542070101517723,-0.8563488385776751,A2C,18,dE,moefrags,5,0,0
19,-1.1434661467036444,-0.7604008553731859,1.0277492820388114,0.5753762734329085,0.602355987458941,0.28099141691845075,1.1602364150767261,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,-0.8594194690069608,1.3935926181124767,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,A2C,32,dU,moefrags,3,1,1
23,-0.9384771311389342,-0.8277281043562137,-1.6055412597032035,-1.5753168519269254,-0.7550079458747675,-0.5107607689487743,-0.5920899080590778,0.08804509063256206,3.2891004572955533,-1.5126073897096164,-0.8594194690069608,1.7885788984607607,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,Beta 2,17,dU,moefrags,3,0,0
27,0.7162094204549802,-0.8771014202771008,0.8170138588367764,1.49797908089909,1.4665181697123917,0.6334837956241334,1.0003462561429621,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,-0.8594194690069608,-0.18635250051575694,-0.6525069075220991,15.61208510465106,-0.8563488385776751,H1,6,dU,moefrags,3,0,0
28,0.4236875917721726,-0.7648893386387211,-1.1734425274647895,-0.8586218095829125,-0.07240016366385528,0.2774595342862594,0.16613487044560157,0.08804509063256206,-0.3040344960525302,0.7432889068280304,0.7957587675990379,-0.5813387808640412,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,M1,31,dE(class),moefrags,5,0,1
30,1.0154531699289762,-0.8771014202771008,-1.0265137691115276,-0.9094449608811848,-0.16282435106205626,-0.5242421293462973,-0.28635356139045076,0.08804509063256206,-0.3040344960525302,0.7432889068280304,0.7957587675990379,-0.9763250612123255,1.01074599400482,-0.07542070101517723,-0.8563488385776751,M1,6,dU(class),moefrags,6,1,1
31,-1.5793560983023225,-0.8411935541528193,0.9128477413130238,-0.2393876924290927,0.7899378400587975,0.26339877642361914,-0.5080000548431232,0.08804509063256206,3.2891004572955533,-1.5126073897096164,-0.8594194690069608,1.7885788984607607,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,M1,14,dU,moefrags,3,0,0
32,1.1837126049593718,-0.8546590039494248,1.535392250691365,1.6871778156099988,0.7289497698226274,1.4693301849278753,1.7422088862430132,0.08804509063256206,-0.3040344960525302,1.3072629819493966,-0.8594194690069608,-0.9763250612123255,1.01074599400482,-0.07542070101517723,-0.8563488385776751,M2,11,dE(class),moefrags,5,1,1
33,-0.6864445262247503,-0.8950553533392415,1.4466854540771403,1.3921739136248683,0.7921648673477563,-2.109389587701427,-0.07367992340829328,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,-0.8594194690069608,1.3935926181124767,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,M2,2,dE,moefrags,4,1,0
34,0.5102200017226666,-0.8860783868081712,1.535392250691365,1.6480732455251041,0.7289497698226274,1.4693301849278753,1.8292941477017228,0.08804509063256206,-0.3040344960525302,1.8712370570707633,-0.8594194690069608,-0.5813387808640412,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,M2,4,dU(class),moefrags,5,1,1
35,-1.2795111213088803,-0.8411935541528193,-0.4159533412997717,-0.16117514283903478,0.6227798435423594,-2.109389587701427,-1.0128914627618815,0.08804509063256206,-0.3040344960525302,-0.9486333145882501,-0.8594194690069608,1.3935926181124767,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,M2,14,dU,moefrags,4,0,0
37,0.8105873567248082,-0.881589903542636,-0.20647176894758246,-0.1344779465835426,1.8787789979456706,-1.5275146405211864,-1.0015486025085234,0.08804509063256206,-0.3040344960525302,0.17931483565448264,0.7957587675990379,-0.9763250612123255,2.673998895531739,-0.07542070101517723,-0.8563488385776751,M4,5,dE,moefrags,6,0,0
39,-1.7732519733238037,-0.8232396210906785,-1.561165476604079,-1.2891505710274536,-0.4436840897492769,-0.3330415500453245,0.31671759521166876,0.08804509063256206,3.2891004572955533,-1.5126073897096164,-0.8594194690069608,1.7885788984607607,-0.6525069075220991,-0.07542070101517723,-0.8563488385776751,M4,18,dU,moefrags,3,0,0
40,0.6717925054322681,-0.3609258447405544,1.0487627534588306,1.3978473235356805,0.4690274473910628,-0.4538226124289008,0.49072951011669735,0.08804509063256206,-0.3040344960525302,0.17931483565448264,-0.8594194690069608,-0.5813387808640412,1.01074599400482,-0.07542070101517723,-0.8563488385776751,OPRD,121,dE(class),moefrags,4,0,1
